participant_id,rule,n_trials,learning_slope,learning_r,learning_p,trials_to_criterion,first_half_accuracy,second_half_accuracy,accuracy_improvement,overall_accuracy,pe_rate
DaRehVxIOhXtEtUExdgvUl0mKcx2,number,13,0.08241758241758243,0.7319250547113998,0.004452286189469766,3.0,0.5,1.0,0.5,0.7692307692307693,15.384615384615385
Df83JuPuJkXqTGbENhM2gw5SJM43,colour,30,0.018633540372670808,0.29837378422688493,0.1092568102146593,2.0,0.8666666666666667,0.9333333333333333,0.06666666666666665,0.9,6.666666666666667
Df83JuPuJkXqTGbENhM2gw5SJM43,shape,35,0.02349724243407331,0.3700435189392051,0.02866725483172855,3.0,0.7647058823529411,0.8888888888888888,0.12418300653594772,0.8285714285714286,11.428571428571429
Df83JuPuJkXqTGbENhM2gw5SJM43,number,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,8.695652173913043
DzB19GqCB7fyrlEPexogWkjFzEx2,colour,31,0.04953319502074688,0.5306341738497642,0.0021338514561943106,5.0,0.7333333333333333,0.8125,0.07916666666666672,0.7741935483870968,6.451612903225806
DzB19GqCB7fyrlEPexogWkjFzEx2,shape,24,0.04572787022794014,0.48718520262761295,0.0157536490468807,3.0,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.875,12.5
DzB19GqCB7fyrlEPexogWkjFzEx2,number,24,0.050699300699300696,0.5292006047363136,0.007834926834921378,2.0,0.9166666666666666,0.8333333333333334,-0.08333333333333326,0.875,12.5
EEodWwGh0wWq5f8JmzfKvq0lyeu1,colour,21,0.024570024570024565,0.3504998186163907,0.1192966560991557,0.0,1.0,0.9090909090909091,-0.09090909090909094,0.9523809523809523,4.761904761904762
EEodWwGh0wWq5f8JmzfKvq0lyeu1,shape,37,0.031214876877490555,0.4966129647006749,0.0017695210121578835,6.0,0.6666666666666666,0.8947368421052632,0.22807017543859653,0.7837837837837838,18.91891891891892
EEodWwGh0wWq5f8JmzfKvq0lyeu1,number,38,0.022547171953407063,0.3683652810749319,0.022871148449235785,1.0,0.8947368421052632,0.8421052631578947,-0.052631578947368474,0.868421052631579,7.894736842105263
EUhcW9kURScie1DwGPHqmNqotJB2,colour,58,0.00032006244025150325,0.009598915946351975,0.9429891492670471,0.0,0.6206896551724138,0.6206896551724138,0.0,0.6206896551724138,36.206896551724135
EUhcW9kURScie1DwGPHqmNqotJB2,shape,35,0.03277310924369748,0.6850192237436813,5.639716491785552e-06,25.0,0.058823529411764705,0.6666666666666666,0.6078431372549019,0.37142857142857144,45.714285714285715
EUhcW9kURScie1DwGPHqmNqotJB2,number,35,0.016526610644257707,0.4172764645401699,0.01263377202009609,9.0,0.7058823529411765,0.8888888888888888,0.18300653594771232,0.8,11.428571428571429
EmfmKFDgWJdW47a6CNTNjnbYaPh2,colour,38,0.006698795686731553,0.14919631307118492,0.3713202072062287,0.0,0.8947368421052632,0.7894736842105263,-0.10526315789473684,0.8421052631578947,13.157894736842104
EmfmKFDgWJdW47a6CNTNjnbYaPh2,shape,22,0.045454545454545456,0.5000000000000001,0.017806558607844625,1.0,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,9.090909090909092
EmfmKFDgWJdW47a6CNTNjnbYaPh2,number,23,0.04705144291091593,0.48503320974401304,0.01898337817885314,0.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,8.695652173913043
EoToosG69XMp4LTYdB6sB9WTrv22,colour,22,0.039362330249950804,0.4436345920346543,0.03862834871563336,2.0,0.8181818181818182,1.0,0.18181818181818177,0.9090909090909091,0.0
EoToosG69XMp4LTYdB6sB9WTrv22,shape,23,0.012076537013801753,0.2055915356922704,0.3466513675512638,3.0,0.9090909090909091,1.0,0.09090909090909094,0.9565217391304348,4.3478260869565215
EoToosG69XMp4LTYdB6sB9WTrv22,number,20,0.0,,,0.0,1.0,1.0,0.0,1.0,0.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,colour,29,0.051756114524168305,0.5787180377131073,0.0010059476790738222,7.0,0.7142857142857143,0.8666666666666667,0.1523809523809524,0.7931034482758621,6.896551724137931
Fz7EUjZCLuUBxLDUVtN6djaBTy42,shape,30,0.03062256247291638,0.43274559204055113,0.016916775840272992,2.0,0.8,0.9333333333333333,0.1333333333333333,0.8666666666666667,13.333333333333334
Fz7EUjZCLuUBxLDUVtN6djaBTy42,number,25,0.058304752572268484,0.5747987455705881,0.0026516736458873703,3.0,0.75,0.9230769230769231,0.17307692307692313,0.84,16.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,colour,41,0.008644416323948119,0.19924592129219837,0.2116982225179277,3.0,0.7,0.9523809523809523,0.2523809523809524,0.8292682926829268,2.4390243902439024
