,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[104],0.116,1.433,-2.536,3.279,0.091,0.236,233.0,181.0,1.11
dass_latent[105],0.061,1.262,-2.326,2.629,0.057,0.21,382.0,155.0,1.11
dass_latent[106],0.083,1.247,-2.367,2.537,0.052,0.191,430.0,134.0,1.11
dass_latent[107],0.064,1.259,-2.389,2.622,0.052,0.188,424.0,141.0,1.1
dass_latent[108],0.01,1.156,-2.401,2.203,0.01,0.176,8786.0,177.0,1.12
dass_latent[109],0.025,1.138,-2.32,2.167,0.012,0.164,7363.0,182.0,1.11
dass_latent[110],0.031,1.121,-2.154,2.235,0.009,0.173,8414.0,189.0,1.1
dass_latent[111],0.021,1.19,-2.255,2.399,0.034,0.173,918.0,167.0,1.12
dass_latent[112],0.042,1.154,-2.273,2.35,0.033,0.188,926.0,172.0,1.12
dass_latent[113],0.048,1.165,-2.359,2.256,0.029,0.156,1059.0,195.0,1.11
dass_latent[114],0.007,1.372,-2.813,2.659,0.073,0.199,266.0,135.0,1.09
dass_latent[115],0.01,1.371,-2.549,2.722,0.07,0.205,276.0,147.0,1.09
dass_latent[116],0.004,1.354,-2.588,2.689,0.07,0.179,273.0,227.0,1.09
dass_latent[117],0.077,1.255,-2.238,2.667,0.053,0.161,393.0,258.0,1.09
dass_latent[118],0.082,1.283,-2.291,2.717,0.05,0.171,435.0,279.0,1.08
dass_latent[119],0.073,1.27,-2.366,2.498,0.054,0.163,362.0,284.0,1.08
dass_latent[120],-0.056,1.614,-3.391,3.107,0.111,0.256,189.0,101.0,1.11
dass_latent[121],-0.03,1.6,-3.341,3.047,0.11,0.274,188.0,95.0,1.11
dass_latent[122],-0.029,1.594,-3.441,3.05,0.11,0.271,184.0,96.0,1.11
dass_latent[123],0.016,1.226,-2.248,2.483,0.036,0.173,560.0,173.0,1.08
