participant_id,total_var,slow_var,fast_var,diff_var,fast_ratio,n_trials
DPvStUYSmohmXwFwaKRqHv89R3k1,707367.4138202205,57410.828959400955,668992.8821714536,971305.1163798185,0.9457502128327897,63
DaRehVxIOhXtEtUExdgvUl0mKcx2,773282.3920975853,155474.7108157232,616327.9832672407,1173237.104406643,0.7970283425119843,122
Df83JuPuJkXqTGbENhM2gw5SJM43,423798.96033963026,49758.05039394096,369119.3773751015,556930.4388135998,0.8709775434071173,88
DzB19GqCB7fyrlEPexogWkjFzEx2,296106.95396679436,29495.811980426624,275020.7533779939,357769.6541905945,0.9287885667448219,78
EEodWwGh0wWq5f8JmzfKvq0lyeu1,277358.4217828708,37496.01222647787,247614.72446988232,496090.99905482866,0.8927607926170231,93
EUhcW9kURScie1DwGPHqmNqotJB2,670544.8607898356,78157.58990451533,654647.5401616878,1265972.484172648,0.9762919357708262,126
EmfmKFDgWJdW47a6CNTNjnbYaPh2,761777.5553976397,73338.18838733358,658790.5184486208,1768166.6818028656,0.8648069423688116,82
EoToosG69XMp4LTYdB6sB9WTrv22,486386.18923520757,24040.77057285506,514850.60396087164,929597.2402005331,1.0585222511568873,62
Fz7EUjZCLuUBxLDUVtN6djaBTy42,169288.76101179578,33759.325150728044,177500.6666545228,254313.77005656768,1.0485082742271048,82
G1Ff3XYUZMRsPafyEQ80ussnVlf1,418145.63752385764,68259.68767123955,362760.00480906095,679254.3490312769,0.8675446357810283,128
G9VruXninjUdE9czK2DambZl5li2,694257.6518227195,117232.29042870476,547754.9463875098,1105499.038954025,0.788979343546912,97
GDZGRW51kbWtAdUIHCtEd8sAtqY2,275619.82134572946,26135.31194942176,261683.19656427,410708.67608849803,0.9494353319241952,82
GE4hogtdLdTFbNasENgtm6SO3hC3,472502.8726908224,37516.204257667836,439537.2983356655,411909.55235480337,0.9302320128395757,67
GEwkBw3YHaNp3TCh9YS9PKVfavz1,407434.00830918807,67203.12884003307,317416.87677848816,622217.3514641474,0.779063284618134,75
HSggdq91WiQp16bOj7V3dABkcgk2,606759.2804478769,79237.32043304954,516747.876284581,981316.6919975466,0.8516522003637846,89
HbydnnT1hUP3WagAy2TJAc6GqVs2,609999.2597525053,68792.20973369748,582006.4838373853,1063554.0270199832,0.9541101477295604,65
HyQM2xKwwuVfqidmRYF6TiRk90C2,495762.6714026813,59701.1997382289,420185.82606104563,477829.98687851056,0.8475543849886821,83
IaTJhUGICmO9xcL3605RW8QHneN2,423415.3952074451,105717.12695323386,288680.7309537454,571664.633648507,0.6817908234354854,108
JntnHLHjYhc0xJJQALM3h9R5Ozv1,770776.3226668257,154647.54650325608,666672.9213098956,1339307.8972083172,0.8649369495462179,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,309538.70215979475,30024.92433407859,305442.0088510673,613683.5335370972,0.9867651660999321,60
K26uNuY0VNPjJNF26wEx3bFg0kr2,224573.07768160535,12943.340428539288,247855.39608898008,325761.98267166654,1.1036736845205635,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,963603.7468427595,370027.0335080389,564887.42620696,1296187.3646638289,0.5862237751335125,83
LSLmd8jENtONZFVkIpRDX665Bu73,700949.8548968337,83905.55252933064,645172.869993125,1242746.7833351886,0.9204265690133883,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,372742.97314902925,17988.452731045953,364041.2977953657,670103.621838428,0.9766550250963832,70
LliUMEIsrCVZ88YFQfevan2Og4z1,304247.57164931344,50142.11720891299,264317.72137274424,348082.33298172336,0.8687586886557183,96
M4Km1Q2P2oPliChDQkwl6k20FUI3,547863.9690844455,74670.35645540139,477010.2194601238,765329.0592857263,0.8706727333379345,93
MMSYeiMQi3gMr4PrXQcpXzFiegj2,316621.75915139564,35065.47447896918,261526.55370313002,455772.9177769413,0.8259904638394693,108
O61Eik2zvrSQLMNpFbTNEgjWwMr2,297882.45059961686,40958.362446833264,269949.186227148,277258.0466354098,0.9062272238050911,78
OExlWyngGfPrScDYjaRcv5PIAet1,481118.44755597686,16973.363050969867,484500.6673410761,552630.413938467,1.0070299108302343,64
ORuVuFPU5idz3fMoXTGsbwToW2j2,383087.0742341379,39855.194611520805,374293.8751958591,487693.42502600205,0.9770464742099221,88
