participant_id,n_trials,n_transitions,rt_lag-2,rt_lag-1,rt_lag+0,rt_lag+1,rt_lag+2,rt_lag+3,rt_lag+4,rt_lag+5,recovery_slope
AyAnuCaltBbpEYbudoyNzTvXlcC2,85,6,2080.250000009934,1968.483333359162,1186.7666666607063,1081.2166666686535,1272.9833333392937,1400.7166666785877,1184.5166666805744,1176.2833333214123,71.31666667262714
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,72,6,2274.783333333364,2701.9166666667443,1322.6333333332248,1329.9666666667133,1877.4333333331936,1936.216666666558,1217.2833333333645,1272.9000000000622,204.52777777777774
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,76,15,1245.1733332951865,1637.4333333333334,977.3866666634877,1306.0266666730245,1127.4466666380565,1220.6266666412353,1253.5933333714804,1133.4533332824708,81.0799999925825
CDEoAyvS8feXLKMKsaZah9agEhF3,62,6,1202.3500000000931,2423.6499999999846,1271.2999999998913,1307.0500000000466,1282.5333333331316,1430.4999999999225,1137.8999999999069,1170.3999999999844,53.066666666677065
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,88,14,1347.542857136045,1949.864285690444,1049.357142823083,1363.5214285680227,1354.0857142720904,1307.957142829895,1350.6999999625343,1321.9357142789024,86.20000000227067
CUNlBEszJVRGK1jWlTaOaCqpDg53,74,9,1574.6666666666667,2190.9666666672047,1268.8333333335404,1299.8444444448169,1468.577777777695,1675.9777777780675,1391.8666666665424,1261.577777778316,135.71481481484238
Cbkx2NHyF3NrebzXGqNgSfiWent1,69,9,947.8624999988824,1917.0333333313465,1148.4777777774466,1098.6555555545622,980.3555555509197,928.1999999996689,940.7444444447756,907.9124999996275,-73.42592592592591
Co587hoelyeANqFX7AYvuVQW0lZ2,79,7,988.5166666607062,1657.6428571343422,883.8571428486279,790.1428571343422,1002.0999999812672,1072.5142857006617,803.5857142891202,801.2428571241243,62.88571428401129
CtJe4bZZnYUBNrcPk00d3YQFSGp2,73,7,1629.9833333333954,1965.8571428570763,1206.1714285715882,1245.6285714285582,1223.614285714259,1240.3999999999735,1015.3000000000799,1055.2285714286513,11.409523809461765
DAKDKPH698P12JfTbbjemLI6PIH2,80,8,1597.8874999955297,1595.5000000074506,852.4624999910593,936.3125000074506,963.3999999910593,959.4999999925494,995.9375,1094.5249999910593,35.67916666716337
DPvStUYSmohmXwFwaKRqHv89R3k1,58,8,1814.5999999940395,1664.9500000327826,1075.824999988079,1287.362500011921,1105.3999999910593,1076.824999988079,1423.8624999821186,1579.5875000208616,0.3333333333333333
DaRehVxIOhXtEtUExdgvUl0mKcx2,110,21,1649.142857142857,2286.519047620751,1178.5142857063383,1674.9619047670137,1502.1000000011354,1711.7380952352569,1539.7761904739198,1386.2666666706402,177.74126984297286
Df83JuPuJkXqTGbENhM2gw5SJM43,87,9,1447.8000000000175,2583.3555555555504,1410.344444444403,1265.3555555555763,1463.8777777777932,1423.9444444444443,1475.044444444434,1215.1000000000156,4.533333333347097
DzB19GqCB7fyrlEPexogWkjFzEx2,76,8,1878.512499958277,1932.5875000357628,1282.6749999523163,1234.58571430615,1165.7142857483454,1397.857142857143,1567.6857142789024,1500.857142823083,38.394047634942204
EEodWwGh0wWq5f8JmzfKvq0lyeu1,91,4,1723.7499999998836,1376.7500000001164,937.25,885.9999999998836,880.25,994.7500000000582,1188.7500000000582,832.4999999999418,19.16666666668607
EUhcW9kURScie1DwGPHqmNqotJB2,109,18,1943.577777783076,1932.59999997086,1458.7500000132454,1773.1055555873447,1949.7333333094914,1844.570588238099,1729.8705882184645,1672.229411756291,128.60686274161785
EmfmKFDgWJdW47a6CNTNjnbYaPh2,75,25,1359.347999997139,1608.5000000047685,1129.4879999876023,1596.3624999970198,1308.6624999890726,1551.717391319897,1411.4999999792678,1474.6772727478635,140.74313044409823
