participant_id,n_trials,bic_2state,aic_2state,ll_2state,converged_2state,bic_3state,aic_3state,ll_3state,converged_3state,delta_bic,delta_aic,lr_statistic,lr_pvalue,preferred_bic,preferred_aic,preferred_lr
CUNlBEszJVRGK1jWlTaOaCqpDg53,74,1128.5739476786837,1112.4454920262544,-549.2227460131272,True,1153.3410616172278,1121.0841503123693,-546.5420751561846,True,24.76711393854407,8.638658286114833,5.361341713885167,0.49837123946829387,2-state,2-state,2-state
Cbkx2NHyF3NrebzXGqNgSfiWent1,69,1017.0704010049416,1001.4316554727608,-493.7158277363804,True,1020.184597719541,988.9071066551794,-480.4535533275897,True,3.114196714599416,-12.524548817581376,26.524548817581376,0.00017772347646094477,2-state,3-state,3-state
Co587hoelyeANqFX7AYvuVQW0lZ2,79,1119.7268674355469,1103.1407324682777,-544.5703662341389,True,1141.8296732037516,1108.6574032692133,-540.3287016346067,True,22.10280576820469,5.516670800935572,8.483329199064428,0.2047872603634333,2-state,2-state,2-state
CtJe4bZZnYUBNrcPk00d3YQFSGp2,73,1066.870965784081,1050.8377496960422,-518.4188748480211,True,1093.0610268133157,1060.9945946372382,-516.4972973186191,True,26.190061029234812,10.156844941195914,3.8431550588040864,0.6978919787193645,2-state,2-state,2-state
DAKDKPH698P12JfTbbjemLI6PIH2,80,1156.0275179148423,1139.353331472125,-562.6766657360625,True,1184.093032371355,1150.7446594859207,-561.3723297429603,True,28.0655144565128,11.3913280137956,2.608671986204399,0.8561127931184002,2-state,2-state,2-state
DPvStUYSmohmXwFwaKRqHv89R3k1,58,868.8063449233258,854.3832438495009,-420.19162192475045,True,912.9520011396676,884.1057989920178,-428.0528994960089,True,44.14565621634176,29.722555142516853,-15.722555142516853,1.0,2-state,2-state,2-state
DaRehVxIOhXtEtUExdgvUl0mKcx2,110,1711.1458378728926,1692.2424753123457,-839.1212376561729,True,1738.6408486280761,1700.8341235069822,-836.4170617534911,True,27.495010755183557,8.591648194636491,5.408351805363509,0.49260209921321885,2-state,2-state,2-state
Df83JuPuJkXqTGbENhM2gw5SJM43,87,1348.6790166000799,1331.4176597694977,-658.7088298847489,True,1373.5105213299694,1338.987807668805,-655.4939038344025,True,24.831504729889502,7.570147899307358,6.429852100692642,0.37679736152724486,2-state,2-state,2-state
DzB19GqCB7fyrlEPexogWkjFzEx2,76,1161.3581675144605,1145.0430341324563,-565.5215170662282,True,1180.2838989590512,1147.6536321950425,-559.8268160975213,True,18.92573144459061,2.6105980625861775,11.389401937413822,0.07706170323108252,2-state,2-state,2-state
EEodWwGh0wWq5f8JmzfKvq0lyeu1,91,1297.0422216446404,1279.4662050990225,-632.7331025495113,True,1323.9891106771838,1288.837077585948,-630.418538792974,True,26.946889032543368,9.370872486925464,4.629127513074536,0.5921804586796025,2-state,2-state,2-state
EUhcW9kURScie1DwGPHqmNqotJB2,109,1672.7666730590759,1653.927237883472,-819.963618941736,True,1696.8499679837346,1659.1710976325267,-815.5855488162633,True,24.08329492465873,5.243859749054764,8.756140250945236,0.1877641621603514,2-state,2-state,2-state
EmfmKFDgWJdW47a6CNTNjnbYaPh2,75,1136.5947143400967,1120.3722975453425,-553.1861487726712,True,1159.6943399617833,1127.249506372275,-549.6247531861375,True,23.099625621686528,6.877208826932474,7.122791173067526,0.3096407617986814,2-state,2-state,2-state
EoToosG69XMp4LTYdB6sB9WTrv22,59,871.3069887302247,856.7642266228846,-421.3821133114423,True,892.0129328235269,862.9274086088468,-417.4637043044234,True,20.70594409330215,6.163181985962183,7.836818014037817,0.25030391569370825,2-state,2-state,2-state
Fz7EUjZCLuUBxLDUVtN6djaBTy42,82,1237.631340361113,1220.7843056302631,-603.3921528151316,True,1257.6536385250154,1223.9595690633157,-597.9797845316579,True,20.022298163902406,3.175263433052578,10.824736566947422,0.09394655959049569,2-state,2-state,2-state
G1Ff3XYUZMRsPafyEQ80ussnVlf1,121,1834.3740053430324,1814.8034715238553,-900.4017357619276,True,1860.9008207541153,1821.759753115761,-896.8798765578805,True,26.526815411082907,6.956281591905736,7.043718408094264,0.3168230740968384,2-state,2-state,2-state
G9VruXninjUdE9czK2DambZl5li2,88,1338.1424835686485,1320.801125867301,-653.4005629336505,True,1366.5045364277314,1331.8218210250366,-651.9109105125183,True,28.36205285908295,11.020695157735645,2.979304842264355,0.8114397789149963,2-state,2-state,2-state
GDZGRW51kbWtAdUIHCtEd8sAtqY2,78,1144.7801629954417,1128.2832012086146,-557.1416006043073,True,1164.9157011996497,1131.9217776259954,-551.9608888129977,True,20.135538204207933,3.6385764173808184,10.361423582619182,0.11023380619717016,2-state,2-state,2-state
GE4hogtdLdTFbNasENgtm6SO3hC3,63,963.9782556120746,948.9763125273339,-467.48815626366695,True,981.0972040848623,951.0933179153808,-461.5466589576904,True,17.11894847278768,2.1170053880468913,11.882994611953109,0.06463053547293107,2-state,2-state,2-state
GEwkBw3YHaNp3TCh9YS9PKVfavz1,74,1138.3497586740625,1122.2213030216333,-554.1106515108166,True,1164.2601094476443,1132.0031981427858,-552.0015990713929,True,25.91035077358174,9.781895121152502,4.218104878847498,0.6471875864165355,2-state,2-state,2-state
HSggdq91WiQp16bOj7V3dABkcgk2,81,1224.255114070779,1207.493969988072,-596.746984994036,True,1262.8866739843008,1229.3643858188866,-600.6821929094433,True,38.63155991352187,21.870415830814636,-7.870415830814636,1.0,2-state,2-state,2-state
HbydnnT1hUP3WagAy2TJAc6GqVs2,60,899.6978686939688,885.037456758414,-435.518728379207,True,925.9358194675077,896.6149955963983,-434.30749779819917,True,26.237950773538955,11.57753883798432,2.4224611620156793,0.8770425680237912,2-state,2-state,2-state
HyQM2xKwwuVfqidmRYF6TiRk90C2,80,1215.3166425415477,1198.6424560988305,-592.3212280494153,True,1244.7461086916237,1211.3977358061893,-591.6988679030947,True,29.429466150075996,12.755279707358795,1.2447202926412047,0.9746182464916641,2-state,2-state,2-state
IaTJhUGICmO9xcL3605RW8QHneN2,106,1608.4969184504787,1589.8528447916942,-787.9264223958471,True,1634.7778885424782,1597.4897412249093,-784.7448706124546,True,26.280970091999507,7.636896433215043,6.363103566784957,0.3837672354396482,2-state,2-state,2-state
JntnHLHjYhc0xJJQALM3h9R5Ozv1,62,973.2124909193111,958.3225502239954,-472.1612751119977,True,992.2519813293057,962.4720999386744,-467.2360499693372,True,19.03949040999464,4.149549714678983,9.850450285321017,0.1310928063073502,2-state,2-state,2-state
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,59,893.4846610550663,878.9418989477263,-432.47094947386313,True,919.9253701766074,890.8398459619274,-431.4199229809637,True,26.44070912154109,11.897947014201122,2.1020529857988777,0.910077464210338,2-state,2-state,2-state
K26uNuY0VNPjJNF26wEx3bFg0kr2,68,958.1177199138559,942.5811659776232,-464.2905829888116,True,983.1660117809819,952.0929039085164,-462.0464519542582,True,25.048291867125954,9.511737930893219,4.488262069106781,0.6109055658641902,2-state,2-state,2-state
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,72,1101.529217607032,1085.5925547739196,-535.7962773869598,True,1129.5916014111115,1097.7182757448868,-534.8591378724434,True,28.062383804079445,12.125720970967222,1.8742790290327775,0.930890242205006,2-state,2-state,2-state
LSLmd8jENtONZFVkIpRDX665Bu73,75,1132.0095368429254,1115.7871200481711,-550.8935600240856,True,1161.9462657052206,1129.5014321157123,-550.7507160578562,True,29.93672886229524,13.714312067541186,0.2856879324588135,0.9995634091155062,2-state,2-state,2-state
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,67,954.201329522452,938.7684811867153,-462.3842405933577,True,978.9895494420214,948.1238527705478,-460.0619263852739,True,24.788219919569315,9.355371583832493,4.644628416167507,0.5901302280843514,2-state,2-state,2-state
LliUMEIsrCVZ88YFQfevan2Og4z1,95,1405.9603266521344,1388.0831884109307,-687.0415942054653,True,1435.3454968548133,1399.5912203724058,-685.7956101862029,True,29.385170202678864,11.508031961475126,2.491968038524874,0.8693654847532521,2-state,2-state,2-state
M4Km1Q2P2oPliChDQkwl6k20FUI3,88,1352.3545711752504,1335.0132134739029,-660.5066067369514,True,1382.0841483759436,1347.4014329732488,-659.7007164866244,True,29.729577200693257,12.38821949934595,1.6117805006540493,0.9517267355317742,2-state,2-state,2-state
MMSYeiMQi3gMr4PrXQcpXzFiegj2,105,1550.362802834174,1531.7850803830715,-758.8925401915358,True,1575.2791110576602,1538.1236661554549,-755.0618330777274,True,24.916308223486112,6.33858577238334,7.66141422761666,0.263972960486727,2-state,2-state,2-state
O61Eik2zvrSQLMNpFbTNEgjWwMr2,77,1168.4960542980937,1152.0894163451178,-569.0447081725589,True,1195.7912597093075,1162.977983803356,-567.488991901678,True,27.29520541121383,10.888567458238185,3.1114325417618147,0.7947365715194978,2-state,2-state,2-state
OExlWyngGfPrScDYjaRcv5PIAet1,61,872.7110928547844,857.9349758055712,-421.9674879027856,True,897.8090663657916,868.2568322673653,-420.12841613368266,True,25.09797351100724,10.321856461794141,3.678143538205859,0.7201371702578876,2-state,2-state,2-state
ORuVuFPU5idz3fMoXTGsbwToW2j2,84,1287.9566262589608,1270.9409086670576,-628.4704543335288,True,1306.7604761038524,1272.729040920046,-622.364520460023,True,18.8038498448916,1.7881322529883619,12.211867747011638,0.0574057959713582,2-state,2-state,2-state
ORvIk1xRWIQmKuLVe6GXNouvAXx2,78,1198.902542708446,1182.4055809216188,-584.2027904608094,True,1230.10870184175,1197.1147782680957,-584.5573891340479,True,31.206159133304027,14.709197346476913,-0.7091973464769126,1.0,2-state,2-state,2-state
