participant_id,n_trials,n_lapse_episodes,lapse_episodes_per_100_trials,mean_lapse_duration,median_lapse_duration,max_lapse_duration,sd_lapse_duration,n_recovered_episodes,recovery_rate,single_trial_lapses,extended_lapses_3plus,first_try_recovery_rate
PkpTH7pWpEOG9A86xSloOSozwTk2,80,2,2.5,6.0,6.0,8,2.0,2,1.0,0,2,0.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,73,5,6.8493150684931505,8.0,2.0,19,8.19756061276768,5,1.0,2,2,0.4
QbOEVCaZLUMOgltUdXm58oZOALv2,91,13,14.285714285714285,1.7692307692307692,1.0,6,1.4225570776082255,13,1.0,9,3,0.6923076923076923
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,57,6,10.526315789473683,1.6666666666666667,2.0,2,0.4714045207910317,6,1.0,2,0,0.3333333333333333
QreA2rLiUhV3YHeMfuHMPdGbpJ53,92,19,20.652173913043477,1.4736842105263157,1.0,3,0.6781104593013224,18,0.9473684210526315,12,2,0.631578947368421
Qv0jhW3sqicqQvd7LfReAsI7nD73,73,7,9.58904109589041,1.0,1.0,1,0.0,7,1.0,7,0,1.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,56,7,12.5,1.0,1.0,1,0.0,7,1.0,7,0,1.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,70,4,5.714285714285714,7.5,5.0,19,6.837397165588672,4,1.0,1,3,0.25
Ru3Qf6pXZua1DfNkQdhbor6iJ403,71,6,8.450704225352112,3.6666666666666665,3.5,7,1.9720265943665387,6,1.0,1,4,0.16666666666666666
SOhR7IO689NQCPQu56SjATO8FR92,93,15,16.129032258064516,1.3333333333333333,1.0,3,0.5962847939999438,15,1.0,11,1,0.7333333333333333
SPCT9D90pRa1ihXS5jEw6vCmquI3,103,6,5.825242718446602,5.0,2.0,21,7.187952884282608,6,1.0,2,2,0.3333333333333333
SdDjNMBD2ZMTEwUphkohi2cZwUx1,82,10,12.195121951219512,1.6,1.0,3,0.9165151389911679,10,1.0,7,3,0.7
SpSfX0ZcfcPLdlOENlfdfvEPwru2,70,8,11.428571428571429,3.0,1.5,14,4.183300132670378,8,1.0,4,1,0.5
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,71,6,8.450704225352112,2.6666666666666665,1.0,8,2.6246692913372707,6,1.0,4,2,0.6666666666666666
Ub7nV8F55kPruh35ZpUcKoBUyn63,77,11,14.285714285714285,1.0,1.0,1,0.0,11,1.0,11,0,1.0
UbwuSMtBsHdW3Ji41opk3GInMqi2,76,6,7.894736842105263,1.1666666666666667,1.0,2,0.3726779962499649,6,1.0,5,0,0.8333333333333334
VwTymW8T68MfpnJvZ2X97ILqDWS2,80,8,10.0,3.875,3.0,11,3.3330729064933458,8,1.0,3,4,0.375
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,76,8,10.526315789473683,1.125,1.0,2,0.33071891388307384,8,1.0,7,0,0.875
WbOfW9KmUkPQK8o5hlHJnJFdpp92,94,11,11.702127659574469,4.090909090909091,3.0,9,2.8429992311112526,11,1.0,2,6,0.18181818181818182
WcTsIpSoEhYeIBSNjAbbdaNSBya2,90,15,16.666666666666664,2.2666666666666666,2.0,11,2.434930982366623,15,1.0,7,3,0.4666666666666667
WeHQDy9BWldTlaQDVVlsJNCqwxA2,105,9,8.571428571428571,1.8888888888888888,2.0,4,0.9938079899999066,9,1.0,4,2,0.4444444444444444
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,69,3,4.3478260869565215,10.666666666666666,4.0,26,10.873004286866728,3,1.0,0,2,0.0
WnC6Uscb5VMIr43GASKiUCO3AYH2,70,3,4.285714285714286,3.0,3.0,5,1.632993161855452,3,1.0,1,2,0.3333333333333333
WqoZv41KTtTCuPKBPyClregrKAi1,84,8,9.523809523809524,5.75,5.5,18,5.261891294962297,7,0.875,3,5,0.375
XehZHBpwr5MYzUXkj0FAYCsFG922,112,10,8.928571428571429,2.3,1.0,8,2.147091055358389,10,1.0,6,3,0.6
YEU5ox3jteVINfdSTg5ymqYcS9o2,60,4,6.666666666666667,1.25,1.0,2,0.4330127018922193,4,1.0,3,0,0.75
Yco8O7tmHlbsUBfKW2ywcZByGO32,61,6,9.836065573770492,3.1666666666666665,3.0,7,2.034425935955617,6,1.0,2,4,0.3333333333333333
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,84,9,10.714285714285714,1.0,1.0,1,0.0,9,1.0,9,0,1.0
aM2995jJmJWvr6cneaGH58HauIg2,87,7,8.045977011494253,3.0,3.0,6,1.6903085094570331,7,1.0,2,4,0.2857142857142857
afdTz6deeYWf1qKNdUpKAYKN3hz1,52,9,17.307692307692307,1.4444444444444444,1.0,3,0.8314794192830981,9,1.0,7,2,0.7777777777777778
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,118,8,6.779661016949152,2.125,2.0,4,1.0532687216470449,8,1.0,3,3,0.375
azdL1gX79EVd9iepyCAVQrqIaQF3,77,6,7.792207792207792,1.0,1.0,1,0.0,6,1.0,6,0,1.0
bXpFswkI7TfIfL6G4FqWrbaxTGx2,90,8,8.88888888888889,3.375,3.5,7,2.117634293262177,8,1.0,3,5,0.375
biQ16yPcCKSkJQhSxUKcDc8gm8I2,118,20,16.94915254237288,2.55,1.5,11,2.5588083163847966,19,0.95,10,6,0.5
btpcu1rB1JeSTo2upeHGPdv8kYG3,65,8,12.307692307692308,2.5,2.0,6,1.6583123951777,8,1.0,3,3,0.375
c0hRe9PCPPZs3HWFqhIQargNlp52,82,5,6.097560975609756,2.0,2.0,3,0.8944271909999159,5,1.0,2,2,0.4
cC0BEsQjfrcuCyoaOas9zJT0MNs2,120,13,10.833333333333334,1.4615384615384615,1.0,3,0.6343239424027171,13,1.0,8,1,0.6153846153846154
cEIs6U87xfbSL5eFTXDK77MmvNf1,97,8,8.24742268041237,4.0,2.5,12,3.3166247903554,8,1.0,1,4,0.125
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,111,15,13.513513513513514,2.1333333333333333,2.0,5,1.203698005684519,15,1.0,6,5,0.4
