outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_ols,p_ucla_wald,ucla_beta,ucla_se,ucla_t,ucla_p,delta_r2_interaction,p_interaction_ols,p_interaction_wald,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p
WCST RL AIC,wcst_rl_aic,197,0.0015579833497483,0.0040065071071225,0.0126239758401603,0.0128221262631017,0.0024485237573742,0.9253883034948912,0.0086174687330378,0.1994056314622333,0.1994056314622333,-6.551068408599402,5.087293154780602,-1.2877316500707787,0.1994056314622362,0.0001981504229413,0.8457791889619283,0.8457791889619283,z_ucla_score:C(gender_male)[T.1],1.4856378575434157,7.627500769731719,0.1947738718610014,0.8457791889619355,119,-4.4576190155200255,6.295022012131016,0.4803300295346834,78,-12.400506919569608,8.874105596586865,0.1665903610646313
WCST RL BIC,wcst_rl_bic,197,0.001562214539407,0.0040115034241439,0.012646053856309,0.0128430566238495,0.0024492888847368,0.925356058547004,0.0086345504321651,0.1989577017215206,0.1989577017215238,-6.607548611446506,5.126018087924243,-1.2890217120014498,0.1989577017215228,0.0001970027675405,0.8462192069639094,0.8462192069639094,z_ucla_score:C(gender_male)[T.1],1.492622021940223,7.685566442077427,0.194211062149996,0.8462192069639325,119,-4.495374926562587,6.343326569906268,0.4799838750527634,78,-12.505493923847316,8.94101910310823,0.1662061693230603
WCST RL Asym Neg LogLik,wcst_rl_asym_negloglik,197,0.0014831883993837,0.0040141763681621,0.0128530372357273,0.013018814148062,0.0025309879687783,0.921952425207866,0.0088388608675652,0.1937024180191794,0.1937024180191805,-3.3081332674484067,2.5362902615488614,-1.3043196662467949,0.1937024180191835,0.0001657769123346,0.8587790372192099,0.8587790372192099,z_ucla_score:C(gender_male)[T.1],0.6775479733816875,3.802783162516801,0.1781716033825249,0.8587790372192209,119,-2.18497045761485,3.137611317629131,0.4876207090574034,78,-6.35756931307635,4.423774977860547,0.1550108152985989
WCST RL Asym AIC,wcst_rl_asym_aic,197,0.0014831883993841,0.0040141763681621,0.0128530372357275,0.0130188141480621,0.002530987968778,0.92195242520788,0.0088388608675653,0.1937024180191805,0.1937024180191805,-6.616266534896808,5.072580523097723,-1.3043196662467935,0.1937024180191839,0.0001657769123346,0.8587790372192099,0.8587790372192099,z_ucla_score:C(gender_male)[T.1],1.3550959467633663,7.605566325033602,0.1781716033825238,0.8587790372192218,119,-4.369940915229703,6.275222635258262,0.487620709057403,78,-12.715138626152685,8.847549955721092,0.1550108152985993
WCST RL Asym BIC,wcst_rl_asym_bic,197,0.0014905098565722,0.0040218506764281,0.0128841013245248,0.013048655713215,0.0025313408198558,0.9219368485123928,0.0088622506480967,0.1931094873405437,0.1931094873405364,-6.70098683916746,5.130669306866968,-1.3060648500964105,0.1931094873405409,0.0001645543886901,0.8592931187756891,0.8592931187757356,z_ucla_score:C(gender_male)[T.1],1.3655721933585492,7.692666403657996,0.1775161071210882,0.859293118775739,119,-4.426574781793537,6.34768876138299,0.4870146929463274,78,-12.87261913256927,8.947909983794387,0.1545918912010311
WCST RL Sticky alpha,wcst_rl_sticky_alpha,197,0.0008964543050278,0.0124748833054199,0.0197162870290494,0.0199426447184639,0.011578429000392,0.5256338959105658,0.0072414037236295,0.2376116649943942,0.2376116649943891,0.0451269678745151,0.0380911308668453,1.184710635981508,0.2376116649943899,0.0002263576894144,0.8347271503772075,0.8347271503772467,z_ucla_score:C(gender_male)[T.1],-0.0119320641324523,0.0571100837404436,-0.2089309514355059,0.8347271503772744,119,0.0247260960663823,0.0494729728471531,0.6181947875087843,78,0.0812631869246729,0.0604956381145912,0.1833968636459512
WCST RL Sticky beta,wcst_rl_sticky_beta,197,0.0045005892826154,0.025478531773708,0.0260132422100901,0.0298572252052204,0.0209779424910926,0.2531090915541916,0.000534710436382,0.7470745665644514,0.7470745665644267,-0.040835850182448,0.1264392750640074,-0.3229680822021138,0.7470745665644127,0.0038439829951303,0.3879306942053163,0.3879306942053363,z_ucla_score:C(gender_male)[T.1],0.1637442958308283,0.1892179686192032,0.8653739231307356,0.3879306942053394,119,-0.0519717241823977,0.192046632303741,0.7871767283698474,78,-0.1027038442971533,0.1113089270143259,0.3592495267745894
WCST RL Stickiness,wcst_rl_stickiness,197,0.010184451835974,0.0355272194727525,0.0444532450750702,0.0462180773618488,0.0253427676367784,0.1742385332080721,0.0089260256023177,0.1843796372476272,0.1843796372476272,0.0447726530165882,0.0336072468383167,1.332232099582209,0.1843796372476351,0.0017648322867785,0.5549802655311962,0.5549802655311962,z_ucla_score:C(gender_male)[T.1],0.0297734159670374,0.0503466508934346,0.5913683519894268,0.5549802655312017,119,0.0231517039180905,0.0438079482852392,0.5982013944631223,78,0.0927268580387345,0.052624163818146,0.0823039304181471
WCST RL Lapse,wcst_rl_lapse,197,0.003623119639511,0.0108291837971665,0.0114784687971744,0.0204584011490427,0.0072060641576555,0.7078800556042091,0.0006492850000078,0.7242809282046814,0.7242809282046814,0.0029379646884203,0.0083165873422413,0.3532656566351319,0.7242809282046787,0.0089799323518683,0.1896663521953096,0.1896663521953107,z_ucla_score:C(gender_male)[T.1],0.0163402463142727,0.0124137388934446,1.3163033679483578,0.1896663521953037,119,-0.0037311561772512,0.0108141597319617,0.7307169072359962,78,0.0172361399150733,0.0126748082134877,0.1781130235974447
WCST RL Sticky Neg LogLik,wcst_rl_sticky_negloglik,197,0.0017178573754876,0.004246306376329,0.0129844145486677,0.0132316071705298,0.0025284490008413,0.9220339703019664,0.0087381081723386,0.1962208653129734,0.1962208653129734,-3.286574971737738,2.5340783589295373,-1.2969508066538542,0.1962208653129778,0.0002471926218621,0.8279824844829036,0.8279824844829411,z_ucla_score:C(gender_male)[T.1],0.8266958677066177,3.799309974637802,0.2175910555404021,0.8279824844829398,119,-2.301976682757122,3.1379170650109915,0.464711724053014,78,-6.07071443049803,4.422183855439649,0.1740795724136784
