outcome,spec,term,estimate,std_error,z,P>|z|,conf_low,conf_high
WCST total errors,dep_only,z_dass_dep,-0.6460430381698046,1.6773903543285371,-0.3851477007141948,0.7001279887410706,-3.933667720668617,2.6415816443290083
WCST total errors,dep_only,age,0.17839459537298097,1.129335106414378,0.1579642697368907,0.8744849537871926,-2.035061539675909,2.3918507304218712
WCST total errors,anx_only,Intercept,18.076230117502398,21.43788612898542,0.8431908821953372,0.3991216969440683,-23.94125459997982,60.09371483498462
WCST total errors,anx_only,C(gender)[T.male],-4.967788148942138,3.619466041984904,-1.3725196178986165,0.16990173601336467,-12.06181123449829,2.126234936614013
WCST total errors,anx_only,z_dass_anx,-1.1926229258225947,1.903595548564137,-0.6265106717244523,0.53098003940051,-4.9236016421390705,2.538355790493881
WCST total errors,anx_only,age,0.03419455409585759,1.0512712573346215,0.03252686103352049,0.9740518953520982,-2.0262592482621398,2.0946483564538547
WCST total errors,str_only,Intercept,14.661113129760121,22.678179329332224,0.6464854570929892,0.5179650124204839,-29.787301590671756,59.109527850191995
WCST total errors,str_only,C(gender)[T.male],-5.294408453401388,3.4971918063257537,-1.5139027959017897,0.13005049491885753,-12.14877844082844,1.559961534025665
WCST total errors,str_only,z_dass_stress,0.6554638926114287,1.5523563398737743,0.422238036316279,0.672851280969694,-2.3870986247135884,3.698026409936446
WCST total errors,str_only,age,0.2170214996624647,1.109580701507699,0.1955887475039677,0.8449320683644292,-1.9577167132333138,2.391759712558243
WCST total errors,all_three,Intercept,22.73753098445419,21.959252208413215,1.0354419526063274,0.3004625619590725,-20.301812471467358,65.77687444037574
WCST total errors,all_three,C(gender)[T.male],-5.033443188029857,3.8956121731936717,-1.292080156917514,0.19632938695313173,-12.668702745225264,2.601816369165551
WCST total errors,all_three,z_dass_dep,-1.265288454398302,3.218367306990095,-0.39314606870700364,0.6942115999783387,-7.573172465120051,5.042595556323447
WCST total errors,all_three,z_dass_anx,-3.285905741514452,2.7757851537106277,-1.1837752417984881,0.2365020452418869,-8.72634467160826,2.1545331885793564
WCST total errors,all_three,z_dass_stress,3.344826521297879,2.6406498996912435,1.266667922047891,0.2052740545936329,-1.8307521778762652,8.520405220472023
