source_file,p_column,parameter,coefficient,std_err,p_value,task1,task2,partial_r,p,n,age_group,ucla_beta,ucla_p,interaction_beta,interaction_p,node1,node2,r,ucla_group,task,r_rt_accuracy,participant_id,linear_slope,linear_intercept,linear_r,linear_r2,linear_p,n_soas,predictor,beta,se,gender,soa,mean,outcome,r_squared,dass_subscale,ci_lower,ci_upper,outcome_label,comparison,var_group1,var_group2,var_ratio,levene_stat
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,WKzqsLX1lNVSdbGgYTTVGtFwsrF3,-0.6098930377285177,1598.742464021787,-0.96170270635938,0.9248720954189558,0.0089448961071591,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,WbOfW9KmUkPQK8o5hlHJnJFdpp92,-0.2639036430574886,769.4149873997017,-0.9741425289936488,0.9489536667941416,0.0049718871706055,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,WcTsIpSoEhYeIBSNjAbbdaNSBya2,-0.6183096557772363,1324.1249416570074,-0.9931721995243188,0.9863910179079732,0.0006765654228276,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,WeHQDy9BWldTlaQDVVlsJNCqwxA2,-0.7207900622325913,1366.6967619603247,-0.976141247304568,0.9528517346893176,0.0044080354230693,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Wfo71fsX1VVfPZnzhT7HEYBTwnq1,-0.589000291709351,1213.071800870452,-0.9854868209448036,0.9711842742558952,0.0020942570038628,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,WqoZv41KTtTCuPKBPyClregrKAi1,-0.6829645248845848,1510.246290142563,-0.9837220911618256,0.9677091526397952,0.0024869583833598,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,XehZHBpwr5MYzUXkj0FAYCsFG922,-0.6409821081286212,1471.2280378554397,-0.970667492057712,0.942195380137608,0.006003956531232,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,YEU5ox3jteVINfdSTg5ymqYcS9o2,-0.4261907817885274,899.6077596256036,-0.9027801961595584,0.8150120825778909,0.0358533018287407,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Z3GikGkUkjMOa6UK1xdIDvuGRHp2,-0.5236594224174355,1096.968334318378,-0.9184358121679944,0.8435243410726835,0.0276183111253088,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,aM2995jJmJWvr6cneaGH58HauIg2,-0.5617095974373741,1268.368081486965,-0.9782378279532014,0.9569492480385972,0.0038411780944857,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,aj2Ivskb3BgyvBNTLIKlSZG0Sq22,-0.5259501653133618,1299.1979093850296,-0.9553893940259356,0.9127688942172444,0.0112347496090861,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,azdL1gX79EVd9iepyCAVQrqIaQF3,-0.5790051050175549,1192.16068164141,-0.965495283419493,0.932181142305287,0.0076540435288678,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,bXpFswkI7TfIfL6G4FqWrbaxTGx2,-0.3057904448446726,780.4551263676824,-0.9543097326837262,0.9107070658948848,0.0116431466724358,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,biQ16yPcCKSkJQhSxUKcDc8gm8I2,-0.3310722967545284,1320.055756505096,-0.9786349284245618,0.9577263231325472,0.003736746754378,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,btpcu1rB1JeSTo2upeHGPdv8kYG3,-0.490202001993457,1372.5365732855162,-0.879112097110883,0.7728380792866946,0.0495304216292487,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,c0hRe9PCPPZs3HWFqhIQargNlp52,-0.5681911578018088,1652.5521095676156,-0.9769096473027292,0.9543524589931426,0.0041972976539161,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,cC0BEsQjfrcuCyoaOas9zJT0MNs2,-0.5345752012715987,1487.8847737378596,-0.9712295392625284,0.9432868179361036,0.0058327174177476,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,cEIs6U87xfbSL5eFTXDK77MmvNf1,-0.5627785690633674,1304.5528156849218,-0.9219011926928796,0.8499018090885542,0.0258908487024755,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,cUugYJoOmOSFc0Mh5JD0ZXJrYN52,-0.3506201380775762,916.4810968485218,-0.9907647438292968,0.981614777615132,0.0010639096285879,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,cec6NLR2ZLVVw6h0TEKSNIH11v02,-0.6046803286658945,1140.8112845196642,-0.932141213815849,0.8688872424940843,0.0210025635762101,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,d9rwc0NXArcNlJvFsgKhQqkGxJq2,-0.3934409551349348,1278.9189625512274,-0.9711094567821632,0.943053577051748,0.0058691657595336,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,-0.6992323998256631,1455.8777372525424,-0.905815624210078,0.8205019450630933,0.0342034186388395,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,fEq0OghbLpfD1jigl1Mbz96aMbg2,-0.633368873977262,1204.5255153627,-0.9905128877654386,0.9811157808294284,0.0011076840943354,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,foaW7wtvY3XLNdguFUK7OvOefP93,-0.4366465869311763,1163.6965966550142,-0.941756234713368,0.8869048056215001,0.0167254177558692,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,h12a1QYNpYbl3T0Gj1PxUz3EnEx2,-0.4923462998664035,1290.7513993878208,-0.9528141992239532,0.9078548982427832,0.0122166709983678,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,h5RYP03wJuVN0xo7qAR8CKFxLaj1,-0.4828796813429279,1459.605010560391,-0.9306215633475962,0.866056494167524,0.0217069426274758,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,hrRr560eFBNwJ0CcUjCqtSD8TdP2,-0.35643373201112,894.2753500586534,-0.9780033169835536,0.9564904880308328,0.0039032960433488,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,i1tBstVkNiVP0qro7TgGD08IGGa2,-0.7479417251381268,1597.5090960678233,-0.9822365607835396,0.9647886613398758,0.0028344177773157,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,iKVZi0Oo96UrMBhPQMHWFcf55uA3,-0.6702785880980137,1499.7364838584012,-0.9258369126228788,0.8571739887750641,0.0239731092269219,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,iWsc4pghIEWOQUZKuQJMfe516UI3,-0.4961570400509365,1009.7014050911904,-0.910303350415085,0.8286521897769291,0.0318102459176456,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,idP8RVfm74N86O0dszLXANIpjXv2,-0.5353940693035738,1105.7204023171262,-0.9427894103642112,0.8888518722948971,0.0162849359009483,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,iv9ew8Ci8lOzvXFiJw1acJfuRAl2,-0.2780838821731666,1261.1488558918788,-0.9271125808706064,0.8595377376085566,0.0233618205920949,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,-0.5648376118274097,1263.3628014416015,-0.9693692166165474,0.9396766781237788,0.0064056835913232,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,jzdk8E3tVXTXIozlfK5oeEb7wWp2,-0.5121206242566512,1121.8979871584568,-0.959019390506679,0.919718191367802,0.0098972304464336,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,kI0YdycDU0X5hcoEPjEON3Ionyd2,-0.7954896252079735,2033.0263476788973,-0.9878300389705724,0.9758081858926024,0.00160869327793,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,kR2rCtaPyPaj7YMizKUDn5xL2qx1,-0.6833015638476257,1370.0129585003192,-0.9296133269063466,0.864180937561886,0.0221784057768827,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,lHDkoPQu5reNCO45npeYSS9eLQl1,-0.8389783009891426,1618.9719024866815,-0.99541957174032,0.990860123803682,0.0003718727647329,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,lS4TefGwYUYBhCDMI0Ws2WxSQmm1,-0.8043257487357255,1664.600025577883,-0.9719130847938646,0.9446150443935258,0.0056266736280348,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,m69r9GQTk2b51mvxrFLt4fZeJi52,-0.5337682004971668,1202.5159809243492,-0.9811392270352812,0.9626341828273888,0.0031005632489545,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,mUZzgdWKnPb2txOkJg9FHgqX5792,-0.5612791486622382,1352.547963715251,-0.9494318145776836,0.9014207705322728,0.0135465278919644,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,mwsliuPsLFhRFjtjQwYkqcCRDvi2,-0.5121882050425013,1190.379074329882,-0.995813096375987,0.9916437229139308,0.0003250127239792,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,nT1qJOiMyDdJ9ui4el195A8Hsgs1,-0.797405581481607,1553.913234148802,-0.9873071233748912,0.974775355866803,0.0017133470817901,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,pFlYc8DBmSXkvMIRgXFxvo3JB6j1,-0.7108223678647602,1788.6301389508217,-0.9920731013130542,0.9842090383489014,0.0008461975308377,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,q0Atnpm0jZS5swcVmq0EMalQUKw1,-0.5622092570983969,1060.0912582652677,-0.9448736866206706,0.8927862836681373,0.0154080676541895,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,-0.4945234640515505,1008.5220253482938,-0.9091333237975464,0.8265234004391744,0.0324288167832663,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,qnR5PLX1v3fPi6SwTJMwGcadwyD3,-0.5413025742848588,1094.5542928683694,-0.9286389162274656,0.8623702367321218,0.0226371542638839,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,qsRKc69hK6e8Uu6vr2pBO8NbpMt2,-0.4641312232594485,1115.6011960326923,-0.975181396629918,0.9509787563330772,0.0046760209401052,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,rFV2EUbp64f5ORSh7DqwmCQmeqT2,-0.7237973835538782,1700.1014407046182,-0.967625972652894,0.9363000229524588,0.0069583884579112,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,rUuJv5gl7dWVo7UPQWMx4bohxhK2,-0.8297008514178202,2009.544673948848,-0.969596528388835,0.940117427863681,0.0063347291282361,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,ric6cNjG25XmZJCiKZDOxzeezao1,-0.6427881174640243,1255.6625340334442,-0.9690782246517105,0.939112605494111,0.0064968943956428,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,ssPK6ISW0HerTGke9hznqJ2LpKu1,-0.4544315441046092,895.5618436389377,-0.885031135635041,0.7832801110434503,0.0459800349166551,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,tB4wPBbnWJUXeOC3Zxjph0Esgjf1,-0.6379335957813378,1487.3365063628523,-0.942851081336826,0.8889681615780222,0.0162587644161145,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,-0.65096805711425,1495.375306299576,-0.9417884187119844,0.8869654256200202,0.0167116388735801,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,tv88wS5Nf6SjruozSmXJxQSmx6J3,-0.785414286556801,1771.845579343975,-0.987530372344017,0.9752162363019128,0.0016683996623738,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,u64Uf920g5VD9Byq26LT2rs5o4t1,-0.4941745429791478,972.3761231016553,-0.9196376651072098,0.8457334350838406,0.0270151324108295,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,uM3kxG78g5ZtXtbAEzZyM4XFmaI3,-0.7634973259485509,1475.3196032695178,-0.9760629869758316,0.9526989545441826,0.0044296893238514,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,v8nNKiWvPdcjiHXZci39OuFTY6M2,-0.5601918514195477,1596.2932516531907,-0.9631443052547908,0.927646952744734,0.0084464684403655,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,vpFmF3TtdQTW3MyS8ouwz3urZVs2,-0.5102435822637179,1127.0703811744884,-0.9510222722497924,0.904443362315158,0.0129156189502241,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,wJPD2B4ZTJhCyUqGTwc8yJSKPPH2,-0.372831048229731,951.7806155185626,-0.9879859193002328,0.9761161767355262,0.0015779218070812,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,wJqgthfmzIMG17pc6WTECny3DVu2,-0.6425355433360814,1449.9374039530758,-0.9515599627513266,0.905466362711306,0.0127045584219349,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,wdppvL4tIkVlGjou6aYzzjlaZXB2,-0.3613262772057031,981.0104136019628,-0.9578936339267576,0.9175602139174092,0.0103060762945753,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,wkhxvE50megJGMA1EiROSZIJWNq1,-0.7876072053689669,1619.849314469973,-0.9968378595887302,0.993685718309441,0.0002133533571127,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,xBGZhFOeypWnqzSQClkrwV9z2vF3,-0.6103104421389259,1388.644578746227,-0.9186039160885996,0.8438331546533109,0.0275336864603106,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,xHctBv4C2EU8rHYRouw0btT3GT02,-0.4001119700505638,1309.208172889913,-0.9476667921954328,0.8980723490299817,0.014258078928627,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,xyAILKfYP2M8GqAai11x6NT7IcP2,-0.8618362991053882,1526.7688642550938,-0.9348459615575534,0.8739369718404666,0.0197676629605929,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,yatBVTBMCSMp0wJluOCLzTFKMyP2,-0.8943423664941387,1782.261871283156,-0.9108603165868004,0.8296665163326064,0.0315171333452434,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,yfjd8LbAMrYeG54927d3GiKAyXI2,-0.7520728231275189,1369.3691870444543,-0.9646111814290804,0.9304747313380064,0.0079490286786968,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,zxG9mUnF7uRkaOKSoCPsiRZzr372,-0.4214553126166029,1583.6580669940818,-0.8866830488389242,0.7862068290982901,0.0450042027425366,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\slope_regression_coefficients.csv,p,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Intercept,-0.5891531481569622,0.0144718612417683,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\slope_regression_coefficients.csv,p,,,,,,,,0.0001341654700561,,,,,,,,,,,,,,,,,,,,C(gender_male)[T.1],0.091014730003366,0.0238340561737829,,,,,,,,,,,,,,
prp_suite\exgaussian\exgaussian_correlations.csv,p,sigma,,,,,,,0.0338370456405123,61.0,,,,,,,,0.2721738690601666,,,,,,,,,,,,,,male,short,163.94506342278538,,,,,,,,,,,
prp_suite\exgaussian\tau_bottleneck_regression.csv,p,,,,,,,,3.1946278820518536e-08,,,,,,,,,,,,,,,,,,,,Intercept,111.6716483407262,20.192250169501182,,,,,,,,,,,,,,
prp_suite\post_error\pes_regression_coefficients.csv,p,,,,,,,,5.774299344590734e-06,,,,,,,,,,,,,,,,,,,,Intercept,207.8731077854144,45.84267115246533,,,,,,,,,,,,,,
prp_suite\response_order\reversal_regression_coefficients.csv,p,,,,,,,,4.352298563051122e-124,,,,,,,,,,,,,,,,,,,,Intercept,50.44760977909571,2.12930339784501,,,,,,,,,,,,,,
prp_suite\rt_variability\variability_regression_coefficients.csv,p,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Intercept,42.81457298566587,0.6288137603809056,,,,,,,,,,,,,,
prp_suite\rt_variability\variability_regression_coefficients.csv,p,,,,,,,,0.0178547447471074,,,,,,,,,,,,,,,,,,,,z_dass_str,-1.6072722941639086,0.6785700143333231,,,,,,,,,,,,,,
stroop_suite\conflict_adaptation\cse_regression.csv,p,,,,,,,,0.0130266276417904,,,,,,,,,,,,,,,,,,,,C(gender_male)[T.1],-63.5678276850166,,,,,,,,,,,,,,,
stroop_suite\exgaussian\exgaussian_dass_regression.csv,p_value,,,,0.0010733460386068,,,,,167.0,,,,,,,,,,,,,,,,,,,Intercept,40.5372413039802,,,,,tau_interference,0.0212608388588861,,,,,,,,,
stroop_suite\exgaussian\exgaussian_dass_regression.csv,p_value,,,,1.2204106274874042e-11,,,,,167.0,,,,,,,,,,,,,,,,,,,Intercept,86.29293566428751,,,,,mu_interference,0.0402368211524581,,,,,,,,,
stroop_suite\exgaussian\exgaussian_dass_regression.csv,p_value,,,,0.0004641295734864,,,,,167.0,,,,,,,,,,,,,,,,,,,Intercept,28.993644278458408,,,,,sigma_interference,0.011358019849469,,,,,,,,,
synthesis_suite\ucla_dass_correlations.csv,p,,,,,,,,9.304634450255198e-12,63.0,,,,,,,,0.7320548172810339,,,,,,,,,,,,,,Male,,,,,Depression,0.5915881387139846,0.8293889915288359,,,,,,
synthesis_suite\ucla_dass_correlations.csv,p,,,,,,,,1.592085836440873e-05,63.0,,,,,,,,0.5146910390215159,,,,,,,,,,,,,,Male,,,,,Anxiety,0.3059360402318155,0.6762250475465277,,,,,,
synthesis_suite\ucla_dass_correlations.csv,p,,,,,,,,2.644667950262076e-08,63.0,,,,,,,,0.6327320919430648,,,,,,,,,,,,,,Male,,,,,Stress,0.4565343355052471,0.7611713943572727,,,,,,
synthesis_suite\ucla_dass_correlations.csv,p,,,,,,,,1.4752535559106995e-14,112.0,,,,,,,,0.645901482606328,,,,,,,,,,,,,,Female,,,,,Depression,0.523028908906876,0.7424730403737638,,,,,,
synthesis_suite\ucla_dass_correlations.csv,p,,,,,,,,1.738912608710589e-07,112.0,,,,,,,,0.4697557618864136,,,,,,,,,,,,,,Female,,,,,Anxiety,0.311334930634992,0.6027727029840309,,,,,,
synthesis_suite\ucla_dass_correlations.csv,p,,,,,,,,7.164084492829591e-07,112.0,,,,,,,,0.4483054010961246,,,,,,,,,,,,,,Female,,,,,Stress,0.2865866188659881,0.5851846631726009,,,,,,
synthesis_suite\variance_test_results.csv,p,,,,,,,,0.038422007680508,,,,,,,,,,,,,,,,,,,,,,,,,,wcst_accuracy,,,,,WCST Accuracy,Male vs Female,55.80814287397092,117.68419022041964,0.474219542739289,4.357919119424015
wcst_suite\mechanism\mechanism_regression.csv,p,,,,,,,,1.852898904847356e-84,,,,,,,,,,,,,,,,,,,,Intercept,-35.07818884984629,1.8013563055719124,,,,,,,,,,,,,,
wcst_suite\switching_dynamics\switching_regression.csv,p,,,,,,,,2.6051919706659627e-129,,,,,,,,,,,,,,,,,,,,Intercept,0.3725673259460473,0.0153994888615938,,,,,,,,,,,,,,
wcst_suite\switching_dynamics\switching_regression.csv,p,,,,,,,,0.0364306626196508,,,,,,,,,,,,,,,,,,,,C(gender_male)[T.1],-0.0453930166710579,0.0216974721369492,,,,,,,,,,,,,,
