participant_id,n_trials,n_t1t2,n_t2t1,n_t2_only,n_t1_only,reversal_rate,reversal_soa_50,reversal_soa_150,reversal_soa_300,reversal_soa_600,reversal_soa_1200
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
zxG9mUnF7uRkaOKSoCPsiRZzr372,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,120,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0
06qcrpGKL6Vc3LVplFQC90VAcRm1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
g2G9l3no7RbeRA9a1W3JnfegTnh2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
WnC6Uscb5VMIr43GASKiUCO3AYH2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
e7NIVznoeNMC7bBejXnMVvFNPfx1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
kgSRatooJJfDaMZ2yIURqb8aJuE3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
afdTz6deeYWf1qKNdUpKAYKN3hz1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
sqfXvh6GJLaYAqr3RvHrixP8IOx1,120,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0
rNe3cRPepZUXbJhmmfQZiGsVzX22,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
o4jXmZcjtMVF2ZInToRpVHUhpdV2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cfoKz0AGhvYmW0DJmVKAZ01jh752,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PXesLO51qlY7lJBrLdOAZiHmUR72,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
KtKj6zUKc5Oogd2itg2jdwkchnf2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
50R0P1MIMvRvK1qpqfGROchII6R2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
