participant_id,wcst_brl_hazard,wcst_brl_noise,wcst_brl_beta,wcst_brl_negloglik,wcst_brl_n_trials,wcst_brl_posterior_entropy_mean,wcst_brl_entropy_drop_mean,wcst_brl_p_rule_max_mean,wcst_brl_change_point_prob_mean,wcst_brl_surprise_mean
6WFCyGwk71XLPBmbe4Vav3eotVm1,0.17507877405669545,0.011004662222262736,4.880166000888175,25.744923539327036,69,0.2455279925320773,0.4505890594039911,0.9029036301409084,0.25265780515132946,0.3255377969112929
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.23094316621951683,0.1275598276712396,6.99195457906962,22.25451627383342,76,0.5117868225707728,0.3583354439641169,0.8052568359701486,0.3633477306648654,0.45178842927974133
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.15469746730948894,0.04575742883123683,7.805989297014786,11.604554087923342,71,0.3414843061322537,0.3615911561135576,0.8680911341184463,0.26310866553410145,0.35389939660877623
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0.24451694308591201,0.3,4.852071670202698,93.64978615916841,128,0.8741091654791342,0.13661203304765157,0.6321061701081733,0.47949083091390515,0.5759657296361047
8bwaafIhKVMNBoHaXFcY8HirS9u2,0.25341938962344146,0.05149167729783679,6.803718884177072,22.55818811046482,82,0.38470327887203326,0.470817690836889,0.8635645434665667,0.34178100738096656,0.39091281511257864
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.3,0.11460935104479811,5.446440165943772,56.9933396103776,98,0.5989689478107664,0.3608336006835683,0.763764609241925,0.4320154262849559,0.4574261173892841
9NTZ091xWyOO8DgzyTGY0O3i8IR2,0.26096407488041495,0.001,6.260863138129485,29.690141832989305,91,0.24317254171616992,0.5877234533587953,0.8984520279949816,0.32551239589956177,0.3512936715217829
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.1856671256638864,0.1396384437616617,9.907709276061283,8.569130506832341,71,0.5249746762454973,0.30072743423934306,0.796462164864071,0.3387838850690844,0.44830951850410716
9l7DjYLs0XdgwykPZR5E01KTZfu2,0.18794404222899558,0.05360352154933936,8.656049862337117,9.36513557012606,75,0.3618081059915742,0.399007173587261,0.8640617327263118,0.2908238509973079,0.38009962141131126
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.2275907863294065,0.19742299470698454,6.954519826007708,28.87005362186648,82,0.653200362544075,0.2651223044908621,0.747979938847933,0.3982011811525953,0.5015570484173055
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.1770339123555035,0.15287555395817656,7.649654732003904,16.70679362014229,80,0.5145154662075953,0.2928078188440357,0.8079878605185064,0.32292159672406506,0.43330084881174774
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.1313483197745297,0.16763975417084934,4.74290658305552,40.599108461702954,94,0.4945265019104885,0.24081235290775252,0.8205040752388602,0.27978702775476644,0.4200580094154382
AsXBOflrszVNKoFqbN61bMJqS0k2,0.15509823768181116,0.3,6.1005523160301784,41.56055971335009,105,0.731710397506718,0.15787465891029095,0.7272758669156171,0.3680401898794018,0.5532621487610145
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.21636027203735414,0.27700437258163124,6.09046543601634,56.543197521736936,112,0.8008148629834716,0.1668006460623177,0.6741146381862123,0.4392986324536356,0.5505285195640554
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0.3,0.3,2.1969316551015323,154.8468467414046,128,0.9623316283527175,0.09593491859983953,0.54237661467103,0.5520880978843119,0.5398137385653464
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.22361646201441018,0.001,6.4320414209613395,21.925725616824742,77,0.2982425708451893,0.5036424303766814,0.8683159026463959,0.31688186979242916,0.32715555004254787
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,0.1946447838366393,0.24732699365020194,6.693955420011459,33.370903663641734,105,0.6990952045857706,0.20821273913196608,0.738552593721993,0.3831748455782832,0.5141260259807969
CDEoAyvS8feXLKMKsaZah9agEhF3,0.14182961751746076,0.001,6.446364457249306,10.940512101039824,68,0.17456949127014007,0.4266802576903035,0.9382208680545466,0.19818185835551697,0.3097998216704121
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.1912529661187069,0.2693289140666888,6.960022126733411,34.19618924252082,91,0.7444513420084317,0.18157484424916212,0.7057185409659242,0.40472676793406265,0.5322240686109503
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,0.20248514760814054,0.23181980488231926,6.749367403542728,29.855837926993228,81,0.692130165701619,0.21891680229537538,0.7392994007596881,0.3880892526602189,0.5322260759035388
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.20117698939127104,0.22364933404047083,9.947939906904876,12.462433925738228,76,0.6654601290546517,0.23287072999255864,0.750175989716684,0.3797660919917922,0.519449952293032
Cbkx2NHyF3NrebzXGqNgSfiWent1,0.18819096394360493,0.05477234651616871,7.5375721647001726,11.161418625310878,71,0.3645784107040275,0.3998085386768817,0.8643858234417849,0.29211899292922777,0.39442937543423867
Co587hoelyeANqFX7AYvuVQW0lZ2,0.15206899618728578,0.07621807710341591,4.837186381477607,33.36065085913441,82,0.3534329959496722,0.3439963275342177,0.8776885326436179,0.25252316096668326,0.36236117811906154
