t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
red,E,6,True,R,43,R,True,E,,1569955.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1662.0999999940395,1569840.299999982,1568353.099999994,prp,,False,150.0,False,False,174.90000000596046,T1→T2,1568178.199999988,43.0,1601.9000000059605,short
blue,E,6,True,B,44,B,True,E,,1571890.5,GE4hogtdLdTFbNasENgtm6SO3hC3,779.5,1571744.8999999762,1571137.199999988,prp,,False,150.0,False,False,171.80000001192093,T1→T2,1570965.3999999762,44.0,753.3000000119209,short
blue,E,4,True,B,45,B,True,E,,1573906.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,844.5999999940395,1573757.3999999762,1573086.5,prp,,False,150.0,False,False,173.7000000178814,T1→T2,1572912.799999982,45.0,820.0999999940395,short
red,O,1,True,R,46,R,True,O,,1575906.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,812.1000000238419,1575752.5,1575022.299999982,prp,,False,50.0,False,False,81.90000000596046,T1→T2,1574940.3999999762,46.0,884.5,short
red,E,4,True,R,47,R,True,E,,1578103.0,GE4hogtdLdTFbNasENgtm6SO3hC3,992.2000000178814,1577932.5,1577118.199999988,prp,,False,150.0,False,False,177.90000000596046,T1→T2,1576940.299999982,47.0,984.8000000119208,short
blue,E,8,True,B,49,B,True,E,,1584035.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1610.5,1583809.199999988,1583415.0,prp,,False,1200.0,False,False,1216.300000011921,T1→T2,1582198.699999988,49.0,620.5999999940395,long
blue,E,6,True,B,51,B,True,E,,1589228.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1096.5999999940395,1588549.299999982,1588667.3999999762,prp,,False,1200.0,False,False,1214.699999988079,T1→T2,1587452.699999988,51.0,560.7000000178814,long
red,O,7,True,R,56,R,True,O,,1600775.699999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1693.9000000059605,1600562.199999988,1600079.599999994,prp,,False,1200.0,False,False,1211.300000011921,T1→T2,1598868.299999982,56.0,696.0999999940395,long
blue,E,4,True,B,59,B,True,E,,1608591.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1606.9000000059605,1608443.599999994,1608050.699999988,prp,,False,1200.0,False,False,1214.0,T1→T2,1606836.699999988,59.0,540.5999999940395,long
red,E,6,True,R,60,R,True,E,,1620772.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1054.800000011921,1620670.699999988,1619689.599999994,prp,,False,50.0,False,False,73.7000000178814,T1→T2,1619615.8999999762,60.0,1083.0,short
blue,E,4,True,B,65,B,True,E,,1631106.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,583.0,1630972.599999994,1630468.699999988,prp,,False,50.0,False,False,79.09999999403954,T1→T2,1630389.599999994,65.0,637.4000000059605,short
blue,O,9,True,B,66,B,True,O,,1633988.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1689.5,1633822.099999994,1633365.699999988,prp,,False,1200.0,False,False,1233.0999999940395,T1→T2,1632132.599999994,66.0,623.0999999940395,long
red,E,6,True,R,67,R,True,E,,1637088.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1936.7999999821184,1636952.299999982,1636232.699999988,prp,,False,1200.0,False,False,1217.199999988079,T1→T2,1635015.5,67.0,855.5,long
red,O,3,True,R,70,R,True,O,,1644191.8999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1780.800000011921,1644049.199999988,1642434.3999999762,prp,,False,150.0,False,False,166.0,T1→T2,1642268.3999999762,70.0,1757.5,short
blue,O,1,True,B,71,B,True,O,,1647221.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1657.399999976158,1646872.8999999762,1646432.0,prp,,False,1200.0,False,False,1216.5,T1→T2,1645215.5,71.0,789.1999999880791,long
red,O,7,True,R,76,R,True,O,,1658071.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,960.6999999880792,1657908.299999982,1657020.299999982,prp,,False,50.0,False,False,72.69999998807907,T1→T2,1656947.599999994,76.0,1051.5,short
red,O,7,True,R,78,R,True,O,,1662855.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,759.7000000178814,1662738.599999994,1662152.099999994,prp,,False,150.0,False,False,173.2000000178814,T1→T2,1661978.8999999762,78.0,703.6999999880791,short
red,O,7,True,R,79,R,True,O,,1665021.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1003.7999999821186,1664897.8999999762,1664069.0,prp,,False,150.0,False,False,174.90000000596046,T1→T2,1663894.099999994,79.0,952.7999999821186,short
red,O,7,True,R,80,R,True,O,,1667818.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1644.5,1667694.5,1667258.8999999762,prp,,False,1200.0,False,False,1208.899999976158,T1→T2,1666050.0,80.0,559.5,long
