participantId,t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_rt,t2_correct,t1_correctResp,soa,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa_nominal_ms,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt_ms
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,3,True,B,91,B,725.1000000238419,True,O,1200.0,981.2999999523163,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,92,B,1502.8999999761581,True,E,50.0,1093.3000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,4,True,R,93,R,960.2000000476837,True,E,1200.0,1409.1000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,2,True,R,94,R,2167.2999999523163,True,E,50.0,1315.1000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,4,True,B,95,B,1386.1000000238419,True,E,600.0,1444.5,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,9,True,R,0,R,1037.0,True,O,150.0,881.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,5,True,B,1,B,754.0,True,O,1200.0,847.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,1,True,B,2,B,1265.0,True,O,50.0,868.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,3,R,963.0,True,E,150.0,700.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,8,True,R,4,R,682.0,True,E,600.0,844.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,2,True,R,5,R,917.0,True,E,50.0,625.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,7,True,B,6,B,819.9999999998836,True,O,150.0,588.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,9,True,R,7,R,672.0,True,O,300.0,691.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,9,True,B,8,B,699.0,True,O,600.0,627.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,5,True,R,9,R,568.0,True,O,1200.0,601.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,1,True,B,10,B,1048.0,True,O,150.0,723.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,2,True,B,11,B,896.0,True,E,50.0,633.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,8,True,R,12,R,846.0,True,E,150.0,660.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,8,True,R,13,R,636.0,True,E,300.0,521.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,1,True,B,14,B,1034.0,True,O,300.0,777.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,1,True,B,15,B,1063.0,True,O,150.0,796.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,9,True,R,16,R,1113.0,True,O,50.0,778.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,17,R,730.0,True,E,300.0,591.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,5,True,B,18,B,1220.0,True,O,600.0,681.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,3,True,R,19,R,789.0,True,O,300.0,699.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,2,True,B,20,B,575.0,True,E,600.0,683.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,6,True,B,21,B,1353.9999999998836,True,E,150.0,901.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,1,True,R,22,R,1773.0,True,O,50.0,1102.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,7,True,B,23,B,720.0,True,O,600.0,902.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,6,True,B,24,B,658.9999999998836,True,E,1200.0,645.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,5,True,B,25,B,1167.0,True,O,300.0,945.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,3,True,B,26,B,1110.0,True,O,50.0,860.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,3,True,R,27,R,760.0,True,O,150.0,694.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,7,True,R,28,R,736.0,True,O,300.0,571.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,4,True,B,29,B,730.9999999998836,True,E,300.0,663.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,4,True,R,30,R,1164.0,True,E,150.0,1029.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,2,True,R,31,R,828.0,True,E,50.0,652.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,3,True,R,32,R,878.9999999998836,True,O,50.0,698.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,6,False,B,33,B,1062.0,True,E,150.0,934.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,2,True,B,34,B,1489.0,True,E,50.0,885.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,7,True,R,35,R,1031.0,True,O,50.0,762.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,4,True,B,36,B,980.0,True,E,150.0,797.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,7,True,B,37,B,1013.0,True,O,150.0,777.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,38,R,809.0,True,E,300.0,627.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,8,True,B,39,B,859.0,True,E,300.0,769.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,8,True,R,40,R,738.0,True,E,1200.0,732.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,8,True,B,41,B,1065.9999999998836,True,E,300.0,977.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,5,True,R,42,R,664.0,True,O,600.0,677.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,8,True,B,43,B,1256.0,True,E,50.0,837.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,8,True,R,44,R,675.0,True,E,600.0,652.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,9,True,R,45,R,706.0,True,O,600.0,733.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,5,False,R,46,R,2238.0,True,O,150.0,710.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,3,True,R,47,R,597.0,True,O,1200.0,793.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,1,True,B,48,B,705.0,True,O,1200.0,926.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,2,True,R,49,R,625.0,True,E,1200.0,702.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,5,True,B,50,B,715.0,True,O,1200.0,744.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,8,True,B,51,B,787.0,True,E,1200.0,612.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,2,True,R,52,R,512.9999999998836,True,E,1200.0,579.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,7,True,B,53,B,1114.0,True,O,150.0,797.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,54,R,1013.0,True,E,50.0,701.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,5,True,R,55,R,775.0,True,O,300.0,653.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,6,True,B,56,B,587.0,True,E,1200.0,713.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,3,True,R,57,R,622.0,True,O,1200.0,1078.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,58,R,611.9999999998836,True,E,1200.0,663.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,6,True,B,59,B,1613.0,True,E,150.0,1117.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,5,True,B,60,B,1171.0,True,O,50.0,815.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,5,True,B,61,B,509.0,True,O,600.0,652.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,1,True,R,62,R,399.0,True,O,1200.0,634.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,63,R,757.0,True,E,300.0,592.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,6,True,R,64,R,607.0,True,E,600.0,590.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,8,True,R,65,R,520.0,True,E,600.0,670.9999999998836,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,3,True,R,66,R,866.9999999998836,True,O,150.0,704.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,O,7,True,B,67,B,379.9999999998836,True,O,1200.0,829.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,4,True,R,68,R,695.9999999998836,True,E,300.0,624.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,blue,E,8,True,B,69,B,822.0,True,E,50.0,684.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,9,True,R,70,R,1510.0,True,O,300.0,761.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,O,9,True,R,71,R,281.0,True,O,1200.0,571.0,,,,,,,,,,,,,,,,
CJINye92gDQlrSU7mv9XjlJBXo62,red,E,2,True,R,72,R,709.0,True,E,300.0,677.0,,,,,,,,,,,,,,,,
