participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_t2_trials,stroop_post_error_slowing,stroop_post_error_rt,stroop_post_correct_rt,stroop_incong_slope,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_trials,wcst_pes,wcst_post_switch_error_rate,wcst_cv_rt,wcst_trials
OExlWyngGfPrScDYjaRcv5PIAet1,0.5197204571659804,0.37911227731816843,0.4956551688035658,0.008403361344537815,0.33333333333333304,871.4497126508718,119.0,,,752.0869158862907,-3.359984890165809,0.30940418212488313,0.3273103485973446,0.30110332011493013,108,2040.9163933963073,0.11999999999999997,0.8183273990236622,66
ORuVuFPU5idz3fMoXTGsbwToW2j2,0.35336183918833514,0.39629535144336747,0.29739547223928686,0.0,,,120.0,733.7226416884728,1515.8000001907349,782.0773585022621,-0.4636595495416634,0.3551738276755272,0.2756222818893613,0.4429554880464048,108,440.3568066901521,0.6399999999999999,0.3814693054655924,88
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.5300142017585582,0.41030542269262027,0.34665389507693434,0.0,0.0,143.05000000979226,119.0,718.7516990694606,1665.1750000417233,946.4233009722626,2.421115669216327,0.37733054506918623,0.3598989792323878,0.324841159925072,108,2984.681359652365,0.36,0.8419277625381467,101
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,0.3820679968614866,0.25774624802528173,0.5487892763045221,0.009174311926605505,0.142857142857143,-189.57324930424443,109.0,780.4475728135953,1691.7999999970198,911.3524271834244,-1.5213902835600681,0.4403052181820641,0.3903463017239462,0.2785248151274234,108,1244.275952395087,0.2799999999999999,0.5878144671989645,68
PLreonkqaMeFc0UqxKUelH44UQu1,0.43979503719501956,0.26685456005595537,0.42676428710960257,0.008333333333333333,0.33333333333333304,147.60854700793573,120.0,343.2586538485036,975.7000000029802,632.4413461544766,-1.4640006134363723,0.3304527436052121,0.31695072718695405,0.38022023815333383,108,2223.477210461555,0.43999999999999995,2.2167429575890054,96
PXesLO51qlY7lJBrLdOAZiHmUR72,,,,,,,,,,1286.0050505050317,-1.0101371792714444,0.4124768759983726,0.4014184545380134,0.4054846339433626,100,292.10292353828027,,0.784789447761878,128
PkpTH7pWpEOG9A86xSloOSozwTk2,0.35155688343174735,0.26738693777637995,0.40031802891240004,0.0,0.0,175.51982759127668,119.0,,,1373.9771428539639,-1.456944735057662,0.24992024607217228,0.26494801456167494,0.21341290708563015,106,-1362.2621212175582,0.6000000000000001,2.156160363731396,128
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.500168913844754,0.35383626572755167,0.3703632679583175,0.0,0.0,-188.94285714119167,120.0,880.4858490595559,1599.7000000029802,719.2141509434243,2.2847647904810717,0.3633469858460889,0.34317518262411273,0.3053045756959947,108,815.3839682533568,0.36,0.5765240543732765,74
QbOEVCaZLUMOgltUdXm58oZOALv2,0.3229286384226529,0.21761359053971283,0.2686839965413305,0.0,0.0,117.58907564097103,120.0,448.90188680279925,1509.800000011921,1060.8981132091217,-1.4991230439382035,0.2791935871445723,0.26435019567631646,0.24075140719345087,108,956.8901666707795,0.43999999999999995,0.5224127425313633,100
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0.29947448152455475,0.24400969042987958,0.36533934070167995,0.0,0.0,1067.0016950126421,119.0,,,1176.2887850476202,0.9509153214571253,0.19143793086533914,0.18895999063038277,0.16879612026850915,108,3338.514166631301,0.31999999999999995,0.8694324795411328,69
