outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
PRP T2 Error Run Mean,prp_t2_error_run_mean,210,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 Error Run Mean,prp_t2_error_run_mean,210,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 Error Run Mean,prp_t2_error_run_mean,210,0.9,1.2562685717683606,0.022679442509422762,-0.0021311247490084077,0.09166085645201347,-0.16095120104719207,0.14876333674840728,-0.005275643732477411,-0.04396503783161914
PRP T2 Error Run Max,prp_t2_error_run_max,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 Error Run Max,prp_t2_error_run_max,210,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 Error Run Max,prp_t2_error_run_max,210,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 Error Run Max,prp_t2_error_run_max,210,0.7,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
PRP T2 Error Run Max,prp_t2_error_run_max,210,0.9,1.8021192251784728,-0.0023478301843695734,0.05130721050581455,0.000739095941205161,-0.34210118090235186,0.16850426227448462,-0.012412713919687719,0.03233193072361838
PRP Cascade Run Mean,prp_cascade_run_mean,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Cascade Run Mean,prp_cascade_run_mean,210,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Cascade Run Mean,prp_cascade_run_mean,210,0.5,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
PRP Cascade Run Mean,prp_cascade_run_mean,210,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Cascade Run Mean,prp_cascade_run_mean,210,0.9,0.9083068810916126,-0.0023995809970080596,-0.2461083272220853,-0.04107417220115482,-0.10807470391536962,-0.05504788733797354,0.017010230333702105,0.37887564755582576
PRP Cascade Run Max,prp_cascade_run_max,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Cascade Run Max,prp_cascade_run_max,210,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
