outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
PRP Ex-Gaussian tau (Overall),prp_exg_overall_tau,201,0.0022994419588753257,0.016591106589163185,0.02067981758632531,0.025652324889699374,-0.00777834145568157,-0.00862450606239662,-0.009608435478015043,-0.009686709958860673,2573.4930563381954,2576.5929899921302,2577.755551846063,2578.7323726783484,0.01429166463028786,0.9446306690869257,0.42010574038363047,0.004088710997162126,0.8099597534020828,0.36924793259203204,0.37648599589579146,0.004972507303374063,0.9849604346236601,0.32221984600601905,0.37756011724117455,12.764214397028075,14.39965350367622,0.8864251069492319,0.3753884948953735,z_ucla_score:C(gender_male)[T.1],21.007547974086037,23.752417034363283,0.8844383265793049,0.37645964118446307,122,4.693749068466417,17.139615948604476,0.7841969720129226,79,21.476699262106052,28.90445694994401,0.4574672750414184,2.596854548916273,2.096290237803647,3.9991150619608122,0.7798793306444434,0.2461124950132173
PRP Ex-Gaussian mu (Bottleneck),prp_exg_mu_bottleneck,194,0.07499649383290541,0.10551905977364551,0.11077833714427054,0.12111759764017582,0.0653105932447684,0.08172967306549772,0.08224716079595851,0.08804137819652658,2671.6800975254982,2671.17063452842,2672.0266066339736,2671.757691088629,0.0305225659407401,2.1383881753094474,0.09683265687389386,0.005259277370625037,1.106006420433386,0.2943088119220037,0.3438293153474229,0.010339260495905278,2.188122605566778,0.14077036102437732,0.2649588978617989,24.389839081672545,25.699707631976803,0.9490317723041153,0.342604452902028,z_ucla_score:C(gender_male)[T.1],51.47375990367871,46.036095856723605,1.1181174021332856,0.26351685502074595,115,14.424668354595806,30.905531513335795,0.6406900619278045,79,17.564754914361753,46.019710636771556,0.7026995143335061,2.579981575947053,2.0746249380814263,6.8457767681836135,0.44511240447624656,5.0156209732006516e-06
PRP Ex-Gaussian sigma (Bottleneck),prp_exg_sigma_bottleneck,194,0.029019517514910942,0.07844474257758016,0.09139394263138978,0.09997010457489675,0.018852182619779168,0.053935294241877485,0.06224080710084623,0.06609801173631757,2383.04733103884,2378.912067264515,2378.166749994074,2378.326923815269,0.04942522506266922,3.36096406480326,0.019905632084653808,0.012949200053809617,2.665071832203321,0.10425591909557701,0.11303357030047964,0.008576161943506966,1.772347929330589,0.18472116465449825,0.24952276101236573,17.752626937554158,11.149897363474823,1.5921785070155676,0.11134460109833963,z_ucla_score:C(gender_male)[T.1],21.746176059177067,18.825889649172925,1.155120765309088,0.24804097580359674,115,13.544549824045426,14.468478683715134,0.34920010753381536,79,15.67163178129122,18.881748542071698,0.40654535658313296,2.579981575947053,2.0746249380814263,3.005439487736674,0.8844985786598143,0.004764492701070557
PRP Ex-Gaussian tau (Bottleneck),prp_exg_tau_bottleneck,194,0.010874954313963014,0.048374943325885655,0.04892014409256651,0.05073336684171725,0.0005176239926433235,0.023065766286680445,0.018404212886980464,0.015008278497050775,2557.8981411753775,2556.40010889375,2558.288931431673,2559.9187196601783,0.03749998901192264,2.469459263322641,0.0633378420416019,0.0005452007666808534,0.10719661733559938,0.7437248357590142,0.7652157529716506,0.0018132227491507447,0.3552841947261469,0.5518616766418192,0.6330210015528195,-5.663857116552519,18.93798355116821,-0.29907392734022825,0.7648836393121968,z_ucla_score:C(gender_male)[T.1],-15.547297041528221,32.50748801216735,-0.47826817734144716,0.6324593429677723,115,-1.3433453002139464,22.090091377933398,0.9515088373714429,79,-5.0104883865668715,36.993262248247035,0.8922614152270696,2.579981575947053,2.0746249380814263,5.9554751859063515,0.5449578368980815,0.015459555723763256
PRP CB Base RT (ms),prp_cb_base,201,0.026628935863102887,0.05252668175512798,0.05254763412107,0.05569326897507887,0.016796904912225075,0.02823249410782369,0.023244983629969185,0.021443802046713922,2664.5507939139497,2665.130508525829,2667.126063575201,2668.457613570735,0.025897745892025092,1.7766763987612122,0.1529355231623836,2.0952365942017437e-05,0.004290198789021597,0.9478436645052686,0.948423904024376,0.003145634854008872,0.6429134802044442,0.42364387240575585,0.5087757710170864,-1.1602488015930046,17.913396446916696,-0.06476989470038273,0.9483572116504191,z_ucla_score:C(gender_male)[T.1],21.21658655115323,32.05035181810575,0.661976713128236,0.5079861458910759,122,1.5026249422303302,23.11111984678879,0.9481601457256541,79,-15.0861483606713,30.565396726180285,0.6216102272763682,2.596854548916273,2.096290237803647,3.8564546523099508,0.7961547069898666,3.963314979613709e-06
PRP CB Bottleneck Duration (ms),prp_cb_bottleneck,201,0.09325975128683417,0.09633433066432218,0.10022686525207192,0.11547266191974137,0.08410075887558999,0.07316341606597154,0.07239883015677528,0.08339135950232279,2617.2635825343245,2622.5808726040896,2623.7131961790838,2622.2782593459256,0.003074579377488007,0.22115220962597332,0.8816312684418857,0.003892534587749741,0.8392690122216226,0.36074329113544523,0.406544441609362,0.015245796667669453,3.326566212465908,0.06971569216048822,0.10845953823495355,14.56674758863386,17.51231665734459,0.831800148070337,0.4055217603210213,z_ucla_score:C(gender_male)[T.1],43.0237421858025,26.679289763345892,1.6126269689874542,0.10682557564617595,122,7.118453417317916,22.14571642788001,0.7478792214124285,79,16.576529575983468,28.62066669070859,0.5624674452062446,2.596854548916273,2.096290237803647,4.818874610999222,0.682055743798214,0.1780181961727223
PRP CB Model R-squared,prp_cb_r_squared,201,0.024287959225905542,0.03255504799728748,0.05077911566361126,0.05488821479967754,0.01443228204636915,0.00774876717670514,0.021421768725372492,0.02060954901520995,-195.62104825631053,-191.33135254472637,-193.15376949866203,-192.02577074219204,0.008267088771381936,0.5554432518640323,0.6450804367795195,0.018224067666323784,3.7246010761114916,0.055074900945754804,0.06461069177656922,0.004109099136066274,0.8391135796626412,0.36079355672203073,0.4285253163306829,0.027783901306403604,0.01494951419758169,1.8585153296083743,0.06309586851503608,z_ucla_score:C(gender_male)[T.1],0.019689316653957203,0.024816713797647383,0.793389359062671,0.4275510084624734,122,0.02318545536255136,0.018802979601894577,0.21754835333722367,79,0.03114571278408021,0.025499608607633204,0.22192732288373562,2.596854548916273,2.096290237803647,7.381010733710234,0.39031515245692255,2.3887839290815145e-16
PRP CB Slope (short SOA),prp_cb_slope,201,0.002880993852052316,0.023591890856578424,0.03857778818479862,0.041937230417255944,-0.007190915300957279,-0.0014442145060733491,0.0088430806028853,0.007188839810628012,288.14508706270885,289.9262008892576,288.81733694014576,290.1137642790147,0.020710897004526108,1.378735277480639,0.25051274945162616,0.014985897328220199,3.023920236027923,0.0836312293866816,0.07991686441471173,0.0033594422324573214,0.6767535191317933,0.4117221200038287,0.40911419512267055,-0.08302875786898535,0.047164878059946375,-1.7603937778330758,0.07834106360373236,z_ucla_score:C(gender_male)[T.1],-0.058668842401515,0.07091990080679636,-0.8272549980201421,0.4080925448669308,122,-0.07634855335036685,0.05503075598675783,0.1653260138354652,79,-0.07309943750165021,0.08930355360324321,0.41304311637647284,2.596854548916273,2.096290237803647,5.247615070409346,0.6297740209789824,0.10891584484199485
PRP Slow-State Probability (Baseline),prp_slow_prob_baseline,201,0.007613458401111162,0.02980749203084543,0.03928897991172253,0.03950450771266534,-0.0024106480796857177,0.004930761057277411,0.009576267950229478,0.00466788364006776,-47.142689505670944,-45.68894300771029,-45.662935342301296,-43.7080331367261,0.022194033629734267,1.4869339580373202,0.21937176788561313,0.009481487880877104,1.9146326110854153,0.16803956586736712,0.18285878600392644,0.00021552780094280521,0.043307715565539535,0.8353663800838507,0.8431644895731717,0.02874984533103177,0.021506730034979857,1.3367836618710176,0.18129326375540677,z_ucla_score:C(gender_male)[T.1],0.0064689780925753166,0.03265282753283691,0.1981138719478388,0.842955971696557,122,0.03317186167212419,0.027720029219211392,0.23143331536836298,79,0.01877254137333783,0.03654951030073048,0.6075180402115858,2.596854548916273,2.096290237803647,9.807560432117569,0.19974367152109307,4.015179212672299e-05
PRP Slow-State Prob (Post-Error),prp_slow_prob_post_error,179,0.01317686592441214,0.02049167588259504,0.020669942904851912,0.023136526529951462,0.0019629666735531126,-0.007817813253746086,-0.013492733505443999,-0.016852036711512586,79.52706600646093,84.19528949749292,86.16270917092982,87.71130321749683,0.0073148099581829,0.43064535257383535,0.7313082181915422,0.00017826702225687274,0.03130908482389043,0.8597607723967862,0.8609125120916776,0.00246658362509955,0.43177558722074383,0.5120023987163422,0.5145935775995538,0.005648479114281117,0.03218957934555985,0.1754753938733982,0.8607061036377058,z_ucla_score:C(gender_male)[T.1],0.030615941631258917,0.04688062668060515,0.6530616973156835,0.5137165040797378,111,0.0031351520962572717,0.03929863688168384,0.9364141166108421,68,0.002834924439024139,0.0544315431554469,0.9584630508112618,2.7761579303857227,2.1717422282750447,3.7464481078664487,0.80847451132474,0.0003072778205853341
