public_id,stroop_interference,stroop_interference_slope,wcst_perseverative_error_rate,wcst_exploration_rt,wcst_confirmation_rt,wcst_exploitation_rt,wcst_pre_exploitation_rt,wcst_confirmation_minus_exploitation_rt,wcst_pre_exploitation_minus_exploitation_rt,wcst_exploration_rt_all,wcst_confirmation_rt_all,wcst_exploitation_rt_all,wcst_pre_exploitation_rt_all,wcst_confirmation_minus_exploitation_rt_all,wcst_pre_exploitation_minus_exploitation_rt_all
KUII876KVW8I,138.52196968655392,26.82200659708549,9.333333333333334,,2668.994444462988,1095.5428571433438,2668.994444462988,1573.4515873196444,1573.4515873196444,1775.7714285680227,2668.994444462988,1099.0560000014304,2418.8920000123976,1569.9384444615578,1319.8360000109672
Z3VLBVUZKA30,127.23888889948535,-68.82890477153991,10.975609756097562,,1983.2166666686535,1103.0452381088621,1983.2166666686535,880.1714285597914,880.1714285597914,1350.6124999821186,2153.6687499955297,1103.0452381088621,1993.0574999928474,1050.6235118866675,890.0122618839853
KAF9WXOGSOZU,146.64671730272698,8.044734840682079,8.75,,1927.1409091082487,1333.5204080854144,1927.1409091082487,593.6205010228343,593.6205010228343,1160.3999996185303,1815.9076923223643,1338.5219998931884,1728.5066666285197,477.38569242917583,389.9846667353313
UVC6FZWQPP9J,88.57119048512175,28.86403134602827,10.638297872340425,,2079.0192308242504,1310.449999988079,2079.0192308242504,768.5692308361713,768.5692308361713,2381.0909091776066,2101.869697007266,1301.5408163167992,2171.675000049851,800.3288806904668,870.1341837330517
W79U161ICN7I,89.18207070682979,19.86144872765398,18.095238095238095,,1766.0772727131844,1177.8984126950068,1766.0772727131844,588.1788600181776,588.1788600181776,1022.6285714251655,1645.9206896362634,1181.1217391249063,1524.7249999841054,464.79895051135713,343.60326085919905
P4CTEWU2HSEJ,226.72796536023498,57.4986388860075,11.607142857142858,,2975.6730769253695,1395.8983333359163,2975.6730769253695,1579.7747435894532,1579.7747435894532,2155.033333354526,3207.926315795434,1456.9281250033528,3006.3085106471754,1750.9981907920815,1549.3803856438226
YTLHAHC8Y5I4,164.60000000003492,-50.946805194768714,0.78125,,3994.0000000000664,2145.496774193545,3994.0000000000664,1848.5032258065212,1848.5032258065212,8292.5,3934.419512195195,2567.9260869564932,4038.1833333334043,1366.4934252387015,1470.257246376911
KG9BGX6WRI7O,352.5638888848374,67.48906168193011,6.493506493506493,,1285.9560000133515,1220.0190476008825,1285.9560000133515,65.93695241246905,65.93695241246905,1944.6750000715256,1260.3580645130526,1220.0190476008825,1338.5657142911639,40.33901691217011,118.54666669028143
L9OLMKKM87F3,15.205555564827478,-6.360253250382164,10.476190476190476,,2027.9409091039138,1647.8323076578288,2027.9409091039138,380.108601446085,380.108601446085,3138.8333333730698,2064.4888889083154,1801.522857114247,2259.824242447362,262.9660317940684,458.3013853331149
LWXYOXHRJN7Q,194.08888888889408,-26.520517316053997,8.823529411764707,,2070.5722222222375,1149.926190476133,2070.5722222222375,920.6460317461047,920.6460317461047,1060.1500000000233,1957.815000000014,1149.926190476133,1808.204166666682,807.888809523881,658.2779761905492
X373DT50AI1Y,398.02023810488845,61.49378141345906,12.087912087912088,,1669.4439999580384,1253.5478260828102,1669.4439999580384,415.8961738752282,415.8961738752282,1766.7249999046326,1632.5999999673743,1245.6041666567326,1645.3738094852083,386.99583331064173,399.76964282847575
6HWE6HIWI51D,82.35277777778936,-144.39938888889975,11.11111111111111,,2138.531818181848,1482.3619047619009,2138.531818181848,656.1699134199471,656.1699134199471,2279.8700000000185,2274.368965517272,1482.3619047619009,2275.7794871795145,792.0070607553712,793.4175824176136
