participant_id,wcst_pre_switch_n_switches_correct,wcst_pre_switch_rt_mean_w1_correct,wcst_pre_switch_rt_delta_w1_correct,wcst_pre_switch_n_valid_w1_correct,wcst_pre_switch_n_valid_delta_w1_correct,wcst_pre_switch_rt_mean_w2_correct,wcst_pre_switch_rt_delta_w2_correct,wcst_pre_switch_n_valid_w2_correct,wcst_pre_switch_n_valid_delta_w2_correct,wcst_pre_switch_rt_mean_w3_correct,wcst_pre_switch_rt_delta_w3_correct,wcst_pre_switch_n_valid_w3_correct,wcst_pre_switch_n_valid_delta_w3_correct,wcst_pre_switch_rt_mean_w4_correct,wcst_pre_switch_rt_delta_w4_correct,wcst_pre_switch_n_valid_w4_correct,wcst_pre_switch_n_valid_delta_w4_correct,wcst_pre_switch_rt_mean_w5_correct,wcst_pre_switch_rt_delta_w5_correct,wcst_pre_switch_n_valid_w5_correct,wcst_pre_switch_n_valid_delta_w5_correct
HyQM2xKwwuVfqidmRYF6TiRk90C2,5.0,947.4999999970198,-248.1724444448617,5.0,5.0,997.9399999976158,-215.23583333306016,5.0,5.0,949.8599999964238,-309.8060714299125,5.0,5.0,956.0049999967217,-346.6188095248881,5.0,5.0,941.7719999969006,-434.8726666676004,5.0,5.0
IaTJhUGICmO9xcL3605RW8QHneN2,5.0,881.0399999976158,-291.28511004700624,5.0,5.0,876.140000000596,-317.98867383602226,5.0,5.0,881.3066666682562,-332.5831904758203,5.0,5.0,988.3000000014902,-193.29741543520407,5.0,5.0,1022.3240000021458,-160.76142856994318,5.0,5.0
JOBWLirr6KYf3GXJ3jPFKmd48S93,5.0,1236.9199999809266,-345.58085471687144,5.0,5.0,1231.3899999856949,-383.89750001182153,5.0,5.0,1268.3933333237967,-373.19497836172843,5.0,5.0,1268.1099999934436,-415.75133333663143,5.0,5.0,1249.6199999952319,-507.41422222296404,5.0,5.0
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,5.0,1038.960000014305,-250.73777776426738,5.0,5.0,1145.419999998808,-149.00500000417233,5.0,5.0,1172.5933333357175,-131.47238095204037,5.0,5.0,1179.8349999994039,-141.3150000045697,5.0,5.0,1169.240000002384,-190.76799999952314,5.0,5.0
JvrZiMHtAfP6gvQtlevYWafKy0z2,5.0,1616.739999961853,-99.34004052036934,5.0,5.0,1574.2199999809266,-165.02966677241852,5.0,5.0,1511.0266666412354,-275.10626997304337,5.0,5.0,1558.3750000476837,-242.43964289370032,5.0,5.0,1562.660000038147,-278.89180958157493,5.0,5.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,5.0,1014.8799999999814,-177.09373737375532,5.0,5.0,979.4699999999721,-243.11972222225404,5.0,5.0,1023.6,-215.93277777777342,5.0,5.0,1028.8399999999906,-242.16226190477113,5.0,5.0,1017.4759999999776,-312.5702857143218,5.0,5.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,5.0,1179.3999999999535,-563.8111111111623,5.0,5.0,1186.7999999999768,-606.1317460317745,5.0,5.0,1252.3999999999692,-574.9000000000435,5.0,5.0,1322.0,-531.7880952380991,5.0,5.0,1341.48,-569.8539393939443,5.0,5.0
KtKj6zUKc5Oogd2itg2jdwkchnf2,5.0,972.4800000011921,-234.29222222105494,5.0,5.0,963.7700000006705,-272.03305555489953,5.0,5.0,954.293333333979,-319.81130952309985,5.0,5.0,968.6900000004098,-345.3404761900416,5.0,5.0,979.6920000001788,-386.28799999992054,5.0,5.0
LSLmd8jENtONZFVkIpRDX665Bu73,5.0,1176.2599999904633,-586.4677777830759,5.0,5.0,1264.0900000095367,-542.9925396649611,5.0,5.0,1322.7600000381467,-525.6353845567494,5.0,5.0,1318.0700000286101,-603.7635713747568,5.0,5.0,1343.9080000400543,-652.4416362810135,5.0,5.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,5.0,1134.7599999904633,-325.234444458882,5.0,5.0,1150.1399999976159,-345.00583334068455,5.0,5.0,1145.7933333357175,-397.5263095254699,5.0,5.0,1122.2649999976159,-498.0469047716686,5.0,5.0,1090.9719999980928,-652.8613333443801,5.0,5.0
LliUMEIsrCVZ88YFQfevan2Og4z1,5.0,954.7599999999627,-195.1098717948947,5.0,5.0,875.369999999972,-308.5129545454673,5.0,5.0,907.4333333333022,-300.04440966053096,5.0,5.0,913.1249999999767,-328.1838888888925,5.0,5.0,948.1439999999664,-311.96863398694865,5.0,5.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,5.0,1557.579999923706,-125.33850009865223,5.0,5.0,1279.8599999904632,-461.2333333644412,5.0,5.0,1288.260000006358,-490.03263737482905,5.0,5.0,1267.4,-574.3629487386117,5.0,5.0,1396.6640000152588,-469.00069696541976,5.0,5.0
O61Eik2zvrSQLMNpFbTNEgjWwMr2,5.0,1222.880000001192,-301.1199393922708,5.0,5.0,1405.510000000149,-109.56172222164773,5.0,5.0,1456.5733333334326,-51.96273809467402,5.0,5.0,1397.480000000447,-152.0435714274024,5.0,5.0,1368.2520000007748,-231.49828571229463,5.0,5.0
OExlWyngGfPrScDYjaRcv5PIAet1,5.0,927.4599999904633,-464.4953535450829,5.0,5.0,969.2299999952317,-470.14100000500673,5.0,5.0,936.9466666777929,-581.8634920468406,5.0,5.0,916.1850000083447,-711.3291666517656,5.0,5.0,964.9080000066758,-754.8297142710005,5.0,5.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,5.0,1758.120000076294,83.1491111585829,5.0,5.0,1555.5000000476837,-157.41751632222946,5.0,5.0,1455.8000000317893,-319.81839286060557,5.0,5.0,1457.260000038147,-363.78599999564034,5.0,5.0,1523.5600000381469,-313.4464761838459,5.0,5.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,5.0,1722.1799999952316,-735.6056954166272,5.0,5.0,1770.1,-749.3438137212454,5.0,5.0,1876.0933333158496,-682.9869625003952,5.0,5.0,1852.6199999809264,-792.3201666901509,5.0,5.0,1919.199999985695,-765.4068571606894,5.0,5.0
P8mTl71XaYNvFMTCvlKpzzUdc9W2,5.0,1054.8199999928474,-282.9930101066045,5.0,5.0,1037.4399999976158,-337.95545454576757,5.0,5.0,1073.446666665872,-333.6404523793856,5.0,5.0,1071.6949999988078,-389.2206746022144,5.0,5.0,1056.5199999976157,-488.2116190481327,5.0,5.0
