,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[81],0.17,0.98,-1.934,1.931,0.189,0.173,24.0,39.0,1.06
dass_latent[82],0.1,1.008,-1.787,2.167,0.16,0.199,35.0,40.0,1.08
dass_latent[83],0.119,1.021,-2.008,2.22,0.193,0.22,27.0,46.0,1.08
dass_latent[84],-0.064,0.692,-1.468,1.269,0.031,0.112,384.0,251.0,1.05
dass_latent[85],-0.056,0.728,-1.526,1.364,0.028,0.136,515.0,61.0,1.1
dass_latent[86],-0.036,0.782,-1.541,1.576,0.029,0.12,359.0,132.0,1.03
dass_latent[87],0.134,0.804,-1.247,1.992,0.107,0.131,44.0,75.0,1.07
dass_latent[88],0.075,0.826,-1.547,1.891,0.09,0.166,83.0,103.0,1.15
dass_latent[89],0.093,0.847,-1.53,1.842,0.081,0.173,104.0,79.0,1.09
dass_latent[90],-0.272,1.16,-2.459,2.438,0.206,0.241,31.0,22.0,1.06
dass_latent[91],-0.237,1.136,-3.132,1.894,0.202,0.271,31.0,23.0,1.1
dass_latent[92],-0.271,1.139,-2.282,2.631,0.199,0.248,32.0,24.0,1.07
dass_latent[93],0.177,0.93,-1.763,2.045,0.129,0.193,47.0,46.0,1.06
dass_latent[94],0.175,0.928,-1.726,2.122,0.156,0.197,30.0,37.0,1.11
dass_latent[95],0.178,0.929,-1.952,1.925,0.14,0.187,40.0,38.0,1.07
dass_latent[96],0.284,1.198,-2.049,3.1,0.25,0.263,20.0,27.0,1.07
dass_latent[97],0.268,1.168,-2.562,2.449,0.243,0.263,19.0,21.0,1.07
dass_latent[98],0.252,1.158,-2.392,2.605,0.227,0.26,24.0,28.0,1.07
dass_latent[99],0.066,0.782,-1.347,1.832,0.09,0.148,80.0,46.0,1.09
dass_latent[100],0.09,0.777,-1.581,1.637,0.105,0.163,56.0,47.0,1.07
dass_latent[101],0.076,0.788,-1.325,1.793,0.084,0.153,92.0,50.0,1.07
dass_latent[102],-0.152,0.863,-1.81,1.674,0.083,0.173,98.0,117.0,1.07
dass_latent[103],-0.163,0.888,-1.765,1.679,0.091,0.164,91.0,67.0,1.07
dass_latent[104],-0.11,0.875,-1.727,1.849,0.083,0.179,103.0,57.0,1.09
dass_latent[105],-0.106,0.813,-1.7,1.514,0.077,0.162,97.0,51.0,1.07
dass_latent[106],-0.099,0.766,-1.435,1.622,0.068,0.143,130.0,55.0,1.06
dass_latent[107],-0.113,0.851,-1.926,1.492,0.071,0.171,123.0,58.0,1.07
dass_latent[108],-0.024,0.689,-1.394,1.319,0.015,0.113,1299.0,325.0,1.06
dass_latent[109],-0.044,0.702,-1.299,1.505,0.033,0.119,207.0,315.0,1.04
dass_latent[110],-0.074,0.711,-1.329,1.417,0.016,0.137,781.0,90.0,1.05
dass_latent[111],-0.003,0.712,-1.529,1.311,0.021,0.135,974.0,210.0,1.07
dass_latent[112],-0.048,0.7,-1.39,1.35,0.023,0.128,429.0,92.0,1.05
dass_latent[113],-0.05,0.744,-1.401,1.47,0.036,0.108,227.0,213.0,1.02
dass_latent[114],0.176,0.997,-1.674,2.462,0.193,0.225,22.0,30.0,1.11
dass_latent[115],0.174,1.012,-1.884,2.291,0.188,0.208,28.0,26.0,1.07
dass_latent[116],0.16,1.03,-2.381,2.052,0.225,0.207,17.0,38.0,1.09
dass_latent[117],-0.19,0.901,-2.103,1.676,0.157,0.185,38.0,27.0,1.08
dass_latent[118],-0.185,0.952,-2.022,1.929,0.158,0.187,35.0,37.0,1.08
dass_latent[119],-0.158,0.965,-2.019,1.977,0.147,0.207,42.0,36.0,1.07
dass_latent[120],-0.138,1.004,-2.3,1.65,0.201,0.202,23.0,46.0,1.08
dass_latent[121],-0.16,1.015,-2.191,1.989,0.197,0.185,24.0,42.0,1.06
dass_latent[122],-0.186,1.003,-2.218,1.883,0.202,0.175,23.0,42.0,1.06
dass_latent[123],-0.123,0.944,-2.007,1.905,0.141,0.203,45.0,32.0,1.1
dass_latent[124],-0.126,0.858,-2.05,1.554,0.15,0.182,34.0,50.0,1.11
dass_latent[125],-0.12,0.87,-1.829,1.851,0.134,0.177,44.0,40.0,1.09
dass_latent[126],-0.266,1.299,-3.628,2.022,0.286,0.29,18.0,23.0,1.08
dass_latent[127],-0.293,1.317,-3.674,1.978,0.289,0.302,18.0,24.0,1.08
dass_latent[128],-0.305,1.302,-3.846,1.913,0.278,0.299,19.0,23.0,1.08
dass_latent[129],-0.125,0.872,-1.845,1.637,0.139,0.179,36.0,40.0,1.05
dass_latent[130],-0.115,0.843,-1.7,1.661,0.135,0.141,36.0,55.0,1.05
dass_latent[131],-0.098,0.878,-1.941,1.616,0.115,0.163,54.0,66.0,1.06
dass_latent[132],-0.308,1.217,-2.548,2.709,0.238,0.273,27.0,27.0,1.07
dass_latent[133],-0.326,1.258,-2.924,2.414,0.222,0.267,32.0,23.0,1.06
dass_latent[134],-0.245,1.246,-2.842,2.569,0.216,0.295,37.0,24.0,1.13
dass_latent[135],-0.138,0.844,-1.907,1.533,0.117,0.155,51.0,41.0,1.07
dass_latent[136],-0.159,0.872,-1.762,1.769,0.113,0.168,52.0,43.0,1.04
dass_latent[137],-0.124,0.87,-1.733,1.737,0.136,0.174,45.0,34.0,1.08
dass_latent[138],0.103,0.864,-1.398,2.168,0.131,0.196,44.0,46.0,1.09
dass_latent[139],0.129,0.862,-1.563,1.952,0.126,0.164,40.0,55.0,1.07
dass_latent[140],0.114,0.887,-1.783,1.808,0.131,0.18,41.0,41.0,1.07
