participant_id,task,pes,pes_robust,rt_after_error,rt_after_correct,n_post_error,n_post_correct
LliUMEIsrCVZ88YFQfevan2Og4z1,wcst,753.3153846153702,714.3999999999069,1692.5615384615062,939.2461538461359,13,65
EUhcW9kURScie1DwGPHqmNqotJB2,wcst,159.92845115717842,-65.25000000000023,2074.7136363441296,1914.7851851869511,22,54
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,wcst,207.95362873028216,87.29999995231606,1314.9588235336191,1107.005194803337,17,77
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,wcst,1334.8335478114072,1324.4000000357632,3494.8882353095446,2160.0546874981374,17,64
wdppvL4tIkVlGjou6aYzzjlaZXB2,wcst,-75.24869280984149,172.80000000074506,1068.127777778854,1143.3764705886954,18,34
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,wcst,1294.261403507308,1458.7000000476842,3400.566666662693,2106.305263155385,3,57
K26uNuY0VNPjJNF26wEx3bFg0kr2,wcst,960.0199999999043,824.3999999999069,2027.9199999999255,1067.9000000000212,5,57
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,wcst,2055.116666666653,1763.0000000001164,3123.749999999971,1068.6333333333178,8,60
DPvStUYSmohmXwFwaKRqHv89R3k1,wcst,1478.412499979848,928.0500000119209,2919.0999999841056,1440.6875000042576,3,56
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,wcst,1306.905844155823,747.9999999997672,2761.7272727272516,1454.8214285714287,11,56
62fAfeQc27bZelkPX7G54T3gvci2,wcst,2739.7089622642734,2186.5499999998137,4164.77500000014,1425.0660377358665,8,53
q0Atnpm0jZS5swcVmq0EMalQUKw1,wcst,1090.2030303030456,982.5000000001746,2429.166666666686,1338.9636363636405,6,55
kR2rCtaPyPaj7YMizKUDn5xL2qx1,wcst,874.5908925318361,844.3000000000466,2025.3777777777416,1150.7868852459055,9,61
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,wcst,3601.783333343488,3554.0,5346.200000007947,1744.4166666644592,6,54
mwsliuPsLFhRFjtjQwYkqcCRDvi2,wcst,1966.573246625182,1895.9999995231628,3005.4714284624374,1038.8981818372554,7,55
iKVZi0Oo96UrMBhPQMHWFcf55uA3,wcst,923.254545454444,1186.9999999997672,2449.199999999907,1525.945454545463,5,55
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,wcst,1261.263425934646,1089.2500000298023,2418.7875000089407,1157.5240740742947,8,54
ssPK6ISW0HerTGke9hznqJ2LpKu1,wcst,390.1494444370271,321.3500008583069,1637.311111132304,1247.1616666952768,9,60
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,wcst,2815.602822580746,2355.70000000007,4085.8625000000757,1270.25967741933,8,62
5zxa5CMLGQSSonWOXqXf0QNS3PH3,wcst,210.31126982806222,413.6999999284743,1322.6699999928474,1112.3587301647851,10,63
h5RYP03wJuVN0xo7qAR8CKFxLaj1,wcst,1128.3181286462666,736.5,2382.6736841986053,1254.3555555523387,19,63
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,wcst,991.1831147522225,792.1999998092654,2251.5699999809267,1260.3868852287042,10,61
v8nNKiWvPdcjiHXZci39OuFTY6M2,wcst,2852.2654545403143,3258.399999976158,4650.199999996594,1797.9345454562795,7,55
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,wcst,1059.465000000042,958.6500000001397,3191.4600000000373,2131.9949999999953,25,20
LSLmd8jENtONZFVkIpRDX665Bu73,wcst,1617.8145613636889,2044.5499997138977,3061.689999961853,1443.8754385981642,10,57
mUZzgdWKnPb2txOkJg9FHgqX5792,wcst,606.5656716570672,633.9500001072884,2271.500000008515,1664.934328351448,14,67
WbOfW9KmUkPQK8o5hlHJnJFdpp92,wcst,612.7578873232217,452.7999999895692,2024.7099999994039,1411.9521126761822,10,71
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,wcst,1485.033333309113,1730.8499998450284,2928.299999986376,1443.266666677263,7,54
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,wcst,1544.124479166654,1222.9500000000698,2619.566666666651,1075.442187499997,9,64
fEq0OghbLpfD1jigl1Mbz96aMbg2,wcst,521.3018181819807,467.5,1664.9818181815472,1143.6799999995665,11,55
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,wcst,807.4265664151886,1196.8999999985099,1823.5142857134342,1016.0877192982456,7,57
cEIs6U87xfbSL5eFTXDK77MmvNf1,wcst,737.4801299968321,607.5,1960.5100000858306,1223.0298700889985,10,77
AsXBOflrszVNKoFqbN61bMJqS0k2,wcst,417.6333333634668,282.8000000715256,1645.2500000198681,1227.6166666564013,12,72
Fz7EUjZCLuUBxLDUVtN6djaBTy42,wcst,-7.17213114070114,-82.40000003576279,1743.300000011921,1750.472131152622,8,61
DzB19GqCB7fyrlEPexogWkjFzEx2,wcst,762.6474576475548,755.7000000476837,2301.300000020436,1538.6525423728813,7,59
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,wcst,1114.7142857142956,1131.0000000001164,2733.714285714286,1618.9999999999902,7,72
xBGZhFOeypWnqzSQClkrwV9z2vF3,wcst,455.4370370370302,412.5999999999767,1587.2888888888992,1131.851851851869,9,54
MMSYeiMQi3gMr4PrXQcpXzFiegj2,wcst,709.5859374741713,342.79999995231606,2080.099999968211,1370.5140624940395,15,64
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,wcst,689.0792858600616,503.34999990463234,2213.840000152588,1524.7607142925262,5,56
y1EHXv8tUTa4BRS4fRio7bULYfA2,wcst,847.7717948536294,559.0999999046326,2263.5384615384614,1415.766666684832,13,63
HyQM2xKwwuVfqidmRYF6TiRk90C2,wcst,1093.6859375005588,1275.949999988079,2056.387499999255,962.7015624986961,8,64
roaf78tUWxWSEjAUcUu8O7mrQbl1,wcst,1738.4278508822124,1432.9500001072884,3143.1875,1404.7596491177876,8,57
i1tBstVkNiVP0qro7TgGD08IGGa2,wcst,1065.1249999701977,898.5,2830.9749999940395,1765.8500000238419,8,60
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,wcst,1302.9122807017973,1317.5,3019.333333333372,1716.4210526315749,6,57
2zDXvJKvjeejeOSNbtDbtSI5cdz1,wcst,974.4630303033823,1184.4500000001863,2438.566666667039,1464.1036363636567,6,55
iWsc4pghIEWOQUZKuQJMfe516UI3,wcst,1499.0672316492837,1665.300000011921,2356.833333339956,857.7661016906723,9,59
lHDkoPQu5reNCO45npeYSS9eLQl1,wcst,1127.528372930156,1100.0500001907349,2322.344444380866,1194.8160714507103,18,56
WcTsIpSoEhYeIBSNjAbbdaNSBya2,wcst,342.08973607184953,110.69999998807907,1998.2090909101746,1656.119354838325,11,62
mg2WZiRBn4NQDKiMK43Y8dBqyG53,wcst,109.33846153844672,147.49999999976717,1047.1333333333334,937.7948717948867,15,78
