participant_id,ucla_total,gender,age,incong_sd_rt,incong_cv_rt,cong_sd_rt,cong_cv_rt,gender_coded,z_ucla,z_age,ucla_x_gender
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,29.0,female,19,217.56120649469852,0.2614656462630297,202.97984105084447,0.26581572491199157,-1,-1.0287211984606013,-0.6888638180434304,1.0287211984606013
DPvStUYSmohmXwFwaKRqHv89R3k1,52.0,male,21,393.8365839009581,0.3480368658853614,298.1487077964173,0.32595443167400495,1,0.8774691390696163,0.3131199172924684,0.8774691390696163
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,39.0,female,22,225.3533574506652,0.28747106297522573,144.28335217302904,0.20567833524309295,-1,-0.1999427908387675,0.8141117849604178,0.1999427908387675
62fAfeQc27bZelkPX7G54T3gvci2,49.0,female,26,471.937806274894,0.40767837587422956,248.551692365587,0.2568021755960094,-1,0.6288356167830662,2.8180792556322154,-0.6288356167830662
q0Atnpm0jZS5swcVmq0EMalQUKw1,24.0,female,21,230.76111471279492,0.28801137601097626,172.0860872603334,0.23101387706947055,-1,-1.443110402271518,0.3131199172924684,1.443110402271518
kR2rCtaPyPaj7YMizKUDn5xL2qx1,53.0,male,19,280.87459371902355,0.27149300219860173,172.50354427000937,0.22532546683213986,1,0.9603469798317997,-0.6888638180434304,0.9603469798317997
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,59.0,female,21,332.84070321138717,0.37268021857702427,196.2549931735345,0.26056928253081224,-1,1.4576140244048998,0.3131199172924684,-1.4576140244048998
mwsliuPsLFhRFjtjQwYkqcCRDvi2,49.0,male,21,174.86062879757625,0.24828067179073288,202.57463661594085,0.27081969527207633,1,0.6288356167830662,0.3131199172924684,0.6288356167830662
iKVZi0Oo96UrMBhPQMHWFcf55uA3,33.0,male,19,366.8397859712421,0.2874169124872635,414.92151288387157,0.36195847179092916,1,-0.6972098354118678,-0.6888638180434304,-0.6972098354118678
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,34.0,male,18,164.693620963371,0.2290406957678774,150.6957284136326,0.21008663716733225,1,-0.6143319946496844,-1.18985568571138,-0.6143319946496844
ssPK6ISW0HerTGke9hznqJ2LpKu1,41.0,male,20,368.50358857762814,0.4072612877879971,240.65354565702427,0.3120552553844912,1,-0.034187109314400756,-0.18787195037548104,-0.034187109314400756
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,40.0,male,19,221.7049233546248,0.2851989166014519,137.94211654123433,0.211864627715419,1,-0.11706495007658413,-0.6888638180434304,-0.11706495007658413
5zxa5CMLGQSSonWOXqXf0QNS3PH3,54.0,male,19,255.17742785329557,0.3618796543931655,106.90104400142496,0.18576050740866187,1,1.0432248205939831,-0.6888638180434304,1.0432248205939831
lS4TefGwYUYBhCDMI0Ws2WxSQmm1,43.0,female,20,334.4551008731658,0.28428174236097864,350.1717106571111,0.338211245741782,-1,0.13156857220996598,-0.18787195037548104,-0.13156857220996598
h5RYP03wJuVN0xo7qAR8CKFxLaj1,29.0,female,21,314.97008227903103,0.2590084325539371,269.2175640343877,0.29239736515754233,-1,-1.0287211984606013,0.3131199172924684,1.0287211984606013
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,male,29,528.687374626861,0.4097963475969656,317.2196169377931,0.35117534647977083,1,-0.9458433576984179,4.321054858636064,-0.9458433576984179
v8nNKiWvPdcjiHXZci39OuFTY6M2,31.0,female,20,276.32451550990015,0.21004663400267853,293.75641743428696,0.26753569031906543,-1,-0.8629655169362345,-0.18787195037548104,0.8629655169362345
LSLmd8jENtONZFVkIpRDX665Bu73,20.0,female,19,290.4959530666136,0.2666153631106712,176.36857408403733,0.20530852102715702,-1,-1.7746217653202516,-0.6888638180434304,1.7746217653202516
mUZzgdWKnPb2txOkJg9FHgqX5792,33.0,female,19,484.1906481129437,0.4038231173739769,329.47844668776014,0.3099239662203029,-1,-0.6972098354118678,-0.6888638180434304,0.6972098354118678
WbOfW9KmUkPQK8o5hlHJnJFdpp92,22.0,male,19,433.4818476174734,0.3740755353132061,344.3837243010386,0.3028293084597083,1,-1.6088660837958848,-0.6888638180434304,-1.6088660837958848
