participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n,mu_interference,sigma_interference,tau_interference
yfjd8LbAMrYeG54927d3GiKAyXI2,504.7865084408785,170.0892090118469,332.87256860144475,72,619.799531441489,176.42879806267345,322.8928554132901,35,115.01302300061047,6.339589050826561,-9.979713188154676
HSggdq91WiQp16bOj7V3dABkcgk2,608.4824793243414,141.93497267086357,90.92998576682653,72,524.0551771897494,160.1752104479194,235.93941079849463,36,-84.42730213459197,18.240237777055825,145.00942503166812
PLreonkqaMeFc0UqxKUelH44UQu1,432.41271916894885,63.10047614819246,208.2419421319454,70,452.1337690807891,23.272525812414905,213.6039082236346,35,19.721049911840225,-39.82795033577756,5.361966091689197
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,687.7710723347691,115.5258458295034,220.39711835063363,72,586.3282745579585,80.84271040926279,307.05228219633835,36,-101.44279777681061,-34.6831354202406,86.65516384570472
SdDjNMBD2ZMTEwUphkohi2cZwUx1,555.6045350875148,60.22027907311917,132.44924799275017,72,538.98638336729,96.7673135340214,233.6758592925339,36,-16.618151720224773,36.547034460902225,101.22661129978371
foaW7wtvY3XLNdguFUK7OvOefP93,654.86002840924,153.73215975313775,141.40263859319464,72,897.4250113686696,287.5984361139551,49.99953956834533,36,242.56498295942959,133.86627636081732,-91.40309902484931
EmfmKFDgWJdW47a6CNTNjnbYaPh2,688.9699161104533,128.16413889448197,159.1058817468817,72,900.7092844503173,227.11240030866628,112.15641444251284,36,211.7393683398641,98.94826141418432,-46.94946730436885
6ABZuv4jbjgE0B8TeyUk6nwVb122,873.5999643351314,77.00241691840264,143.87132097367464,72,887.154911427436,167.2231078241504,236.04745588684122,36,13.554947092304587,90.22069090574774,92.17613491316658
WeHQDy9BWldTlaQDVVlsJNCqwxA2,671.6058739415223,156.4147341623739,189.4662496244007,72,675.2395053146515,239.4006936315542,320.89756366495106,36,3.6336313731292194,82.9859594691803,131.43131404055038
0d841i8KPjdjwCYfDuUUXj0SEjH2,587.8005891271981,109.29465821911529,278.2943872881132,71,748.2902880174246,109.83105459625966,282.09121902511623,34,160.48969889022646,0.5363963771443707,3.7968317370030036
0oa5NYVnIBS9NmrmRAZrahXDctP2,419.33339372836224,56.26546661696175,127.24001056779288,69,399.5401677897119,38.11791846492789,158.09384831412746,35,-19.793225938650323,-18.147548152033863,30.853837746334577
5OOi73igsahMZ5IVKQwwyhnj4Cn2,664.4608132011927,95.62668276880275,120.13130379175692,72,927.5258334206728,210.83900382454473,6.414292625378206,35,263.0650202194802,115.21232105574198,-113.71701116637871
O61Eik2zvrSQLMNpFbTNEgjWwMr2,597.4363831748572,128.18971211846926,249.76635501455934,71,777.560360891081,241.99883650011216,5.976906596343031,36,180.12397771622386,113.8091243816429,-243.7894484182163
Ub7nV8F55kPruh35ZpUcKoBUyn63,670.0560733633879,122.26760367304874,327.0922496960701,72,819.6745878117914,144.33506507872926,288.62297673471323,35,149.61851444840352,22.06746140568052,-38.469272961356864
