participant_id,phase,category_slope,n_categories
6WFCyGwk71XLPBmbe4Vav3eotVm1,confirmation,-0.04714776058631795,6
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,exploitation,0.000821412447138091,6
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,exploration,-0.07128782719821405,6
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,confirmation,-0.04286960927108197,6
80UJMJbCOMgs6YVpsMgXfYTzw6o2,exploitation,-0.052346327190621066,6
80UJMJbCOMgs6YVpsMgXfYTzw6o2,exploration,-0.16556290404937793,6
80UJMJbCOMgs6YVpsMgXfYTzw6o2,confirmation,-0.10578427169653473,6
87w5Le0CgZhSfYAaOH3Xd2fc98l1,exploitation,-0.04510718677532813,6
87w5Le0CgZhSfYAaOH3Xd2fc98l1,exploration,-0.08374718844886146,5
87w5Le0CgZhSfYAaOH3Xd2fc98l1,confirmation,-0.15337343915390658,6
8bwaafIhKVMNBoHaXFcY8HirS9u2,exploitation,-0.05478704136022002,6
8bwaafIhKVMNBoHaXFcY8HirS9u2,exploration,-0.43205648368187644,5
8bwaafIhKVMNBoHaXFcY8HirS9u2,confirmation,-0.031413992299278375,6
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,exploitation,-0.09822589892152257,6
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,exploration,-0.13142217162999464,6
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,confirmation,-0.07211078838850585,6
9NTZ091xWyOO8DgzyTGY0O3i8IR2,exploitation,-0.008546781905087338,6
9NTZ091xWyOO8DgzyTGY0O3i8IR2,exploration,-0.036212318460780775,5
9NTZ091xWyOO8DgzyTGY0O3i8IR2,confirmation,-0.02345383099151981,6
9Xz1RIwnPXgyRqmucudW9VeuDnq1,exploitation,0.013591810758393705,6
9Xz1RIwnPXgyRqmucudW9VeuDnq1,exploration,-0.1182913938002005,6
9Xz1RIwnPXgyRqmucudW9VeuDnq1,confirmation,-0.024699368653669607,6
9l7DjYLs0XdgwykPZR5E01KTZfu2,exploitation,-0.03631344154435418,6
9l7DjYLs0XdgwykPZR5E01KTZfu2,exploration,0.03375944094249436,5
9l7DjYLs0XdgwykPZR5E01KTZfu2,confirmation,-0.23772722289444814,6
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,exploitation,-0.04239786113989064,6
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,exploration,-0.20981016368691696,6
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,confirmation,-0.1112402532573293,6
ASGvwW80q7VY7xFaLGZhVuErUQu2,exploitation,-0.04379718432796277,6
ASGvwW80q7VY7xFaLGZhVuErUQu2,exploration,0.003572235031628493,5
ASGvwW80q7VY7xFaLGZhVuErUQu2,confirmation,-0.08904878185813178,6
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,exploitation,-0.03210290296721003,6
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,exploration,-0.21806016049985072,6
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,confirmation,-0.025866492532337578,6
AsXBOflrszVNKoFqbN61bMJqS0k2,exploitation,-0.0174229268219195,6
AsXBOflrszVNKoFqbN61bMJqS0k2,exploration,-0.039306181533234154,5
AsXBOflrszVNKoFqbN61bMJqS0k2,confirmation,-0.12471023201273801,6
AyAnuCaltBbpEYbudoyNzTvXlcC2,exploitation,-0.052274081167906175,6
AyAnuCaltBbpEYbudoyNzTvXlcC2,exploration,-0.2850647114101113,6
AyAnuCaltBbpEYbudoyNzTvXlcC2,confirmation,-0.07734675622332272,6
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,exploitation,0.04392163891945333,6
