participant_id,ce_after_congruent,ce_after_incongruent,cse,n_trials
SdDjNMBD2ZMTEwUphkohi2cZwUx1,-6.0577774895562015,163.6386240701827,-169.6964015597389,107
SpSfX0ZcfcPLdlOENlfdfvEPwru2,-67.67948717946854,52.2312252964432,-119.91071247591174,106
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,123.23333333394464,-28.77391304270077,152.0072463766454,107
Ub7nV8F55kPruh35ZpUcKoBUyn63,215.31636364487088,109.59883333340281,105.71753031146807,106
UbwuSMtBsHdW3Ji41opk3GInMqi2,108.3592307691963,44.61054545450281,63.74868531469349,106
VwTymW8T68MfpnJvZ2X97ILqDWS2,244.5738095399879,383.9448801833561,-139.37107064336817,103
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,103.7179487179526,76.6750841750353,27.0428645429173,107
WbOfW9KmUkPQK8o5hlHJnJFdpp92,69.29777778403627,-31.55668896207453,100.8544667461108,103
WcTsIpSoEhYeIBSNjAbbdaNSBya2,21.038333337381573,-16.379365079538502,37.417698416920075,107
WeHQDy9BWldTlaQDVVlsJNCqwxA2,223.45299145302624,123.66498316500997,99.78800828801627,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,202.51538462071983,164.82643479803335,37.68894982268648,107
WnC6Uscb5VMIr43GASKiUCO3AYH2,-16.087777782148805,23.6755555597058,-39.763333341854604,107
WqoZv41KTtTCuPKBPyClregrKAi1,240.87272727274,242.1634615383898,-1.290734265649803,107
XehZHBpwr5MYzUXkj0FAYCsFG922,-18.424999998385715,221.61181818223133,-240.03681818061705,104
YEU5ox3jteVINfdSTg5ymqYcS9o2,14.39909091808579,16.976421400256754,-2.5773304821709644,104
Yco8O7tmHlbsUBfKW2ywcZByGO32,230.99636363739307,151.53899999494354,79.45736364244954,106
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,226.23333336710925,145.52865499548523,80.70467837162403,105
aM2995jJmJWvr6cneaGH58HauIg2,462.90538462217023,305.9401515105909,156.96523311157932,102
afdTz6deeYWf1qKNdUpKAYKN3hz1,409.10500000212346,264.34074999980623,144.76425000231723,103
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,94.31428572109769,-72.69482758781385,167.00911330891154,107
azdL1gX79EVd9iepyCAVQrqIaQF3,45.99920634913542,65.96243386242111,-19.963227513285688,105
bXpFswkI7TfIfL6G4FqWrbaxTGx2,96.99500000000114,186.80193236718537,-89.80693236718423,103
biQ16yPcCKSkJQhSxUKcDc8gm8I2,226.21833329598098,54.05642853294103,172.16190476303996,107
btpcu1rB1JeSTo2upeHGPdv8kYG3,71.70666666030888,437.93974358956905,-366.23307692926016,107
c0hRe9PCPPZs3HWFqhIQargNlp52,19.040000009536698,146.3499999669882,-127.30999995745151,106
cC0BEsQjfrcuCyoaOas9zJT0MNs2,190.27647055597868,24.146666683091098,166.12980387288758,107
cEIs6U87xfbSL5eFTXDK77MmvNf1,-18.696153938770294,125.06666665376667,-143.76282059253697,107
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,178.55000000009318,270.8823529413869,-92.33235294129372,103
cec6NLR2ZLVVw6h0TEKSNIH11v02,91.00333333337528,47.35569358183125,43.647639751544034,107
d9rwc0NXArcNlJvFsgKhQqkGxJq2,142.66587301946822,288.89061303351116,-146.22474001404294,107
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,61.545384606031234,192.08904348767317,-130.54365888164193,107
e7NIVznoeNMC7bBejXnMVvFNPfx1,56.598333338896396,94.1988294225273,-37.6004960836309,106
fEq0OghbLpfD1jigl1Mbz96aMbg2,187.190000000596,99.15163043764949,88.03836956294651,102
foaW7wtvY3XLNdguFUK7OvOefP93,239.19764705881767,76.31326315790011,162.88438390091756,107
g2G9l3no7RbeRA9a1W3JnfegTnh2,-443.45833326379454,221.193478263202,-664.6518115269965,101
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,367.5153846153962,282.3115789473668,85.20380566802942,103
h5RYP03wJuVN0xo7qAR8CKFxLaj1,299.3454545465381,292.55266666859393,6.792787877944193,106
hrRr560eFBNwJ0CcUjCqtSD8TdP2,-58.71777777841521,36.71538461544196,-95.43316239385717,107
i1tBstVkNiVP0qro7TgGD08IGGa2,75.86250000198675,161.43311686252605,-85.5706168605393,105
iKVZi0Oo96UrMBhPQMHWFcf55uA3,-106.24675324675309,285.4545454545156,-391.7012987012687,103
iWsc4pghIEWOQUZKuQJMfe516UI3,141.01428571371798,146.51168583304946,-5.497400119331473,105
