outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
Stroop RT Interference,stroop_rt_interference,219,0.9,292.68706238824547,12.830432897431704,-22.879305572706343,0.077419691477207,1.9636272714519936,-5.588020388052559,0.0094534615300531,6.907295414094016
Stroop Accuracy Interference,stroop_acc_interference,219,0.1,-0.060079999003476,-0.0044546861744143,0.0033808782483062,0.0137585496205041,-0.009976430602939,-0.0022726743928974,-0.0076595669584288,0.0034387706204974
Stroop Accuracy Interference,stroop_acc_interference,219,0.3,-0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy Interference,stroop_acc_interference,219,0.5,0.0,0.0,-0.010790842212075,0.0,0.0,0.0,0.0,-0.0076793854183912
Stroop Accuracy Interference,stroop_acc_interference,219,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy Interference,stroop_acc_interference,219,0.9,0.0,0.0,0.0154195291181592,0.0,0.0,0.0,0.0,0.0083020382901526
Stroop RT Facilitation,stroop_rt_facilitation,219,0.1,-36.506058739099394,15.870169111627703,-13.195797615750514,-9.60472597731189,8.31276634971899,-11.756923700759229,11.643659585022505,11.026427882391316
Stroop RT Facilitation,stroop_rt_facilitation,219,0.3,5.855858166313351,-2.133302874436731,4.917553479743556,-16.47269824392145,6.289081293764773,-0.7609293201379567,7.451955200810482,7.18549052929235
Stroop RT Facilitation,stroop_rt_facilitation,219,0.5,31.805052585046077,-1.135245923393152,11.325270867388667,-0.6479903307146168,-4.094415248228437,2.976565278024345,5.233906722514088,-17.543023141360944
Stroop RT Facilitation,stroop_rt_facilitation,219,0.7,59.3509122224465,0.9524621215703296,14.902769133601348,1.5624076224333332,3.203098418998977,-6.497090489730618,9.298076039680067,-18.621331588276373
Stroop RT Facilitation,stroop_rt_facilitation,219,0.9,115.76992000640897,5.463459188645979,11.190733963382783,18.22628762281647,-3.495764398245849,-14.012413557580578,6.233015566849299,-30.854965139933533
Stroop Accuracy Facilitation,stroop_acc_facilitation,219,0.1,-0.024139147183393,-0.00052110271193,-0.002672261456963,0.0092493709884723,0.0005118391212471,-0.0014911052883094,-0.0079156728819638,0.0046870108117024
