participant_id,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_post_error_accuracy,prp_post_error_accuracy_drop,prp_t2_rt_t1_error,prp_t2_rt_t1_correct,prp_t2_interference_t1_error,prp_t1_error_run_mean,prp_t1_error_run_max,prp_t2_error_run_mean,prp_t2_error_run_max,prp_cascade_run_mean,prp_cascade_run_max
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.0,0.0,-353.62627125493555,1.0,0.008474576271186418,1977.0666666428249,832.6658119625515,1144.4008546802734,1.0,1.0,1.0,1.0,0.0,0.0
62fAfeQc27bZelkPX7G54T3gvci2,,,343.2254237286286,1.0,0.008474576271186418,,1267.1141666666604,,0.0,0.0,1.0,1.0,0.0,0.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.0,,,,,1376.3500001430511,1161.1313559322034,215.21864421084774,1.0,1.0,0.0,0.0,0.0,0.0
6OwhwWQDThSPHTVAeXugohrYuje2,0.2,5.850000000000002,12.840486779677121,1.0,0.03539823008849563,1344.3200000286101,1359.2794642799668,-14.959464251356621,1.0,1.0,1.0,1.0,1.0,1.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,,,315.85482444052116,1.0,0.034782608695652195,,670.9076271137949,,0.0,0.0,1.0,1.0,0.0,0.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.0,0.0,682.3564102293079,1.0,0.017094017094017144,579.0999999046326,920.8991596678726,-341.79915976324,1.0,1.0,1.0,1.0,0.0,0.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,,,187.78894736776942,1.0,0.04385964912280704,,810.5500000000155,,0.0,0.0,1.0,1.0,0.0,0.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,,,124.89957264920645,1.0,0.017094017094017144,,1204.7916666666356,,0.0,0.0,1.0,1.0,0.0,0.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,,,342.76837608855,1.0,0.017094017094017144,,810.3383333365123,,0.0,0.0,1.0,1.0,0.0,0.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,,,,,,,1310.4831932612828,,0.0,0.0,0.0,0.0,0.0,0.0
9NTZ091xWyOO8DgzyTGY0O3i8IR2,,,140.4254347822589,0.75,-0.2239130434782609,,784.055833333296,,0.0,0.0,1.3333333333333333,2.0,0.0,0.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.0,0.0,529.7672413793064,1.0,0.017241379310344862,1667.249999999971,1110.3805309734555,556.8694690265154,1.0,1.0,1.0,1.0,0.0,0.0
9g0uWFg7uhR46Q0VoG6MzqHOUL12,0.0,0.0,434.12972969246346,0.8571428571428571,-0.09781209781209788,1418.3200000286101,977.08165138249,441.23834864612013,1.0,1.0,1.0,1.0,0.0,0.0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,,,-133.93936775539112,1.0,0.025862068965517238,,855.7675000051657,,0.0,0.0,1.0,1.0,0.0,0.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.2,7.6000000000000085,252.8793937683106,1.0,0.027272727272727226,1377.160000228882,1314.8128439352054,62.34715629367656,1.25,2.0,1.0,1.0,1.0,1.0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.0,0.0,987.3341877419725,1.0,0.017094017094017144,364.30000019073486,1070.9226890291486,-706.6226888384138,1.0,1.0,1.0,1.0,0.0,0.0
AsXBOflrszVNKoFqbN61bMJqS0k2,0.0,,,,,1644.6999999284744,1139.6487394911903,505.0512604372841,1.0,1.0,0.0,0.0,0.0,0.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,,,164.22787307035992,0.9090909090909091,0.002548853016142716,,1218.139622641501,,0.0,0.0,1.0,1.0,0.0,0.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.0,0.0,254.16440682289942,1.0,0.008474576271186418,1933.7999999523165,937.8440678018635,995.955932150453,1.0,1.0,1.0,1.0,0.0,0.0
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,0.0,0.0,-6.671794828186762,1.0,0.017094017094017144,1177.3499999046326,845.7991525500507,331.55084735458183,1.0,1.0,1.0,1.0,0.0,0.0
CDEoAyvS8feXLKMKsaZah9agEhF3,0.0,,,,,1850.7999999998133,1044.5478991596694,806.2521008401438,1.0,1.0,0.0,0.0,0.0,0.0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,,,,,,,889.4424999932448,,0.0,0.0,0.0,0.0,0.0,0.0
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,0.0,0.0,429.23369369368424,0.8,-0.16396396396396395,1511.3000000000466,1343.594782608695,167.70521739135165,1.0,1.0,1.25,2.0,0.0,0.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.0,0.0,820.5601851844092,1.0,0.0092592592592593,1306.2250000000931,1073.8471698113278,232.3778301887653,1.3333333333333333,2.0,1.0,1.0,0.0,0.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,,,,,,,923.4449999996772,,0.0,0.0,0.0,0.0,0.0,0.0
Co587hoelyeANqFX7AYvuVQW0lZ2,0.0,0.0,505.63220339962993,1.0,0.008474576271186418,1454.5,680.2966386575658,774.2033613424342,1.0,1.0,1.0,1.0,0.0,0.0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,,,59.96978260870287,1.0,0.034782608695652195,,1249.1374999999923,,0.0,0.0,1.0,1.0,0.0,0.0
DAKDKPH698P12JfTbbjemLI6PIH2,,,,,,,777.578333332638,,0.0,0.0,0.0,0.0,0.0,0.0
DPvStUYSmohmXwFwaKRqHv89R3k1,0.0,0.0,471.33826085095825,0.75,-0.2239130434782609,1194.3500000238419,982.5491525298459,211.800847493996,1.0,1.0,1.3333333333333333,2.0,0.0,0.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,0.0,0.0,210.29464286778648,1.0,0.008928571428571397,2312.233333349228,1501.2936363648284,810.9396969843995,1.0,1.0,1.0,1.0,0.0,0.0
DxSidjznjVSNDJuDqqGgxpMEGtw1,0.0,0.0,562.8330275471058,1.0,0.03669724770642202,2055.6999999284744,1508.9871559558658,546.7128439726087,1.0,1.0,1.0,1.0,0.0,0.0
DzB19GqCB7fyrlEPexogWkjFzEx2,,,692.9086307947125,1.0,0.0267857142857143,,1228.5724137877596,,0.0,0.0,1.0,1.0,0.0,0.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,0.0,0.0,294.29629629629096,1.0,0.08333333333333337,906.6666666666666,1024.817391304353,-118.15072463768627,1.0,1.0,1.0,1.0,0.0,0.0
EUhcW9kURScie1DwGPHqmNqotJB2,0.0,0.0,135.86818178350268,1.0,0.026548672566371723,1941.2999999523165,1044.3634782459426,896.9365217063739,1.0,1.0,1.0,1.0,0.0,0.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,0.0,0.0,594.799999934846,1.0,0.008620689655172376,2593.0666666428247,1285.3399999939877,1307.726666648837,1.0,1.0,1.0,1.0,0.0,0.0
EoToosG69XMp4LTYdB6sB9WTrv22,,,,,,,922.0708333174388,,0.0,0.0,0.0,0.0,0.0,0.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.0,,,,,1900.100000023842,872.2093220322819,1027.89067799156,1.0,1.0,0.0,0.0,0.0,0.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,0.0,0.0,137.55482862820134,0.5,-0.4439252336448598,2249.2999999523163,976.8159663837497,1272.4840335685667,1.0,1.0,2.0,5.0,0.0,0.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.14285714285714285,8.571428571428545,73.54658125914057,1.0,0.017094017094017144,1358.1571428094592,857.9353982452798,500.2217445641794,1.0,1.0,1.0,1.0,1.0,1.0
GE4hogtdLdTFbNasENgtm6SO3hC3,0.0,0.0,985.3311965772484,1.0,0.017094017094017144,1007.5,871.947058824431,135.552941175569,1.0,1.0,1.0,1.0,0.0,0.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,,,-121.43135593402178,1.0,0.008474576271186418,,787.8375000019868,,0.0,0.0,1.0,1.0,0.0,0.0
HSggdq91WiQp16bOj7V3dABkcgk2,,,,,,,956.3366666684548,,0.0,0.0,0.0,0.0,0.0,0.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,,,,,,,1030.3886956608815,,0.0,0.0,0.0,0.0,0.0,0.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.0,,,,,604.2999999970198,787.8999999996995,-183.60000000267974,1.0,1.0,0.0,0.0,0.0,0.0
IaTJhUGICmO9xcL3605RW8QHneN2,0.0,0.0,244.03891303668854,1.0,0.034782608695652195,1648.4666666686535,897.2401709406295,751.226495728024,1.0,1.0,1.0,1.0,0.0,0.0
JOBWLirr6KYf3GXJ3jPFKmd48S93,0.0,0.0,474.9811403414137,1.0,0.03508771929824561,1658.5666666428249,1042.123893806892,616.4427728359328,1.0,1.0,1.0,1.0,0.0,0.0
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0.0,0.0,-171.84396551395287,1.0,0.017241379310344862,799.0000000298023,955.8948717968077,-156.89487176700538,1.0,1.0,1.0,1.0,0.0,0.0
JvrZiMHtAfP6gvQtlevYWafKy0z2,,,,,,,885.8525000015894,,0.0,0.0,0.0,0.0,0.0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.0,0.0,94.36571428569152,1.0,0.044642857142857095,1609.9749999999767,874.7350877193048,735.2399122806719,1.0,1.0,1.0,1.0,0.0,0.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,,,22.02586206896956,0.6666666666666666,-0.3160919540229885,,850.3333333333295,,0.0,0.0,1.5,2.0,0.0,0.0
KtKj6zUKc5Oogd2itg2jdwkchnf2,,,406.0923076914862,0.5,-0.5,,639.7899082569628,,0.0,0.0,1.0,1.0,0.0,0.0
LSLmd8jENtONZFVkIpRDX665Bu73,0.0,0.0,1007.339380539624,1.0,0.017699115044247815,1128.99999996594,1000.627586222243,128.37241374369705,1.75,4.0,1.0,1.0,0.0,0.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.0,,,,,1005.9999999701976,702.8720338970928,303.12796607310474,1.0,1.0,0.0,0.0,0.0,0.0
LliUMEIsrCVZ88YFQfevan2Og4z1,,,113.30727272721765,0.7777777777777778,-0.1585858585858586,,749.8650000000023,,0.0,0.0,1.2857142857142858,3.0,0.0,0.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,,,401.09396583458476,1.0,0.008620689655172376,,882.2495726234893,,0.0,0.0,1.0,1.0,0.0,0.0
O61Eik2zvrSQLMNpFbTNEgjWwMr2,0.1,1.6999999999999997,172.00318181860166,1.0,0.07207207207207211,1435.6800000000744,1228.06330275228,207.6166972477945,1.25,3.0,1.0,1.0,1.0,1.0
OExlWyngGfPrScDYjaRcv5PIAet1,0.5,19.999999999999982,873.1898550797199,1.0,0.025862068965517238,2371.050000011921,991.6254237213377,1379.4245762905832,1.0,1.0,1.0,1.0,1.0,1.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.0,0.0,145.1054054151939,1.0,0.06306306306306309,1288.2600000143052,962.0587719302429,326.20122808406234,1.0,1.0,1.0,1.0,0.0,0.0
P8mTl71XaYNvFMTCvlKpzzUdc9W2,0.3333333333333333,39.333333333333435,774.5282051619301,1.0,0.008547008547008517,2085.7666666706405,1177.5321739150131,908.2344927556273,1.0,1.0,1.0,1.0,1.0,1.0
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,0.25,2.95,242.53627451669945,0.7,-0.23457943925233649,840.2749999960264,1470.7773584892166,-630.5023584931902,1.3333333333333333,3.0,1.4285714285714286,2.0,1.0,1.0
PLreonkqaMeFc0UqxKUelH44UQu1,0.2,7.999999999999994,149.50574712579453,1.0,0.025862068965517238,1525.5199999988079,819.4973913050217,706.0226086937862,1.0,1.0,1.0,1.0,1.0,1.0
PkpTH7pWpEOG9A86xSloOSozwTk2,0.0,0.0,179.76521739614168,1.0,0.02608695652173909,1770.5,1515.865254216275,254.63474578372507,1.0,1.0,1.0,1.0,0.0,0.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.0,0.0,-179.02542372717187,1.0,0.008474576271186418,1852.949999999255,885.7275862067553,967.2224137924997,1.0,1.0,1.0,1.0,0.0,0.0
QbOEVCaZLUMOgltUdXm58oZOALv2,0.0,0.0,122.46016950223407,1.0,0.008474576271186418,1761.8499999940395,1015.247457628533,746.6025423655066,1.0,1.0,1.0,1.0,0.0,0.0
