participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n
DaRehVxIOhXtEtUExdgvUl0mKcx2,742.820374585838,141.55411541923652,305.1906377609084,36.0,1479.8619373214626,428.3947298459201,42.343615362184515,36.0
Df83JuPuJkXqTGbENhM2gw5SJM43,617.7634705364337,94.64859486405585,266.7699898001043,36.0,824.4407877130692,67.96404650486,431.97748921024163,36.0
DxSidjznjVSNDJuDqqGgxpMEGtw1,991.3190043230679,235.02628306773985,61.34494140526141,36.0,1148.2187525859283,262.45997864371316,45.14522725636677,36.0
DzB19GqCB7fyrlEPexogWkjFzEx2,840.7312345420598,138.8375177300447,310.75976806463996,34.0,926.1939234900331,106.49380714775481,405.88962570718877,36.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,522.5977625476745,133.56971126450694,137.3132976375635,36.0,578.9672893068384,142.1444512544535,264.42378763437506,36.0
EUhcW9kURScie1DwGPHqmNqotJB2,884.1010601590532,171.48976593365424,193.88864703683512,36.0,948.8717644349335,249.98904893194754,259.05710375698936,36.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,672.2086560694393,126.37272078831205,141.80630415160132,36.0,900.7092844503173,227.11240030866628,112.15641444251284,36.0
EoToosG69XMp4LTYdB6sB9WTrv22,573.1282391074584,116.56604710231397,120.18276418132089,36.0,630.3349838934603,113.97299866902529,128.19332314491578,36.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,814.8552665105236,74.1059430260984,127.97621672245862,36.0,831.5871112027831,194.09773170411367,200.01500039558604,36.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,703.7225284846579,18.514813828801426,254.56002859708477,36.0,904.1966529727757,198.09019309813868,209.38412103695313,36.0
G9VruXninjUdE9czK2DambZl5li2,547.8749848667545,117.81256892539953,149.0141972223597,36.0,489.259283115782,137.07731412224604,322.07336912952246,36.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,755.6557960934414,121.5061575760218,195.3724822045578,36.0,765.7987011956177,64.8559508405279,175.32219766188342,36.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,670.8497973536934,143.63252289731798,5.0,36.0,574.4732736862238,172.30532972054544,213.09072112988042,36.0
HSggdq91WiQp16bOj7V3dABkcgk2,675.0365373939474,154.85870617359788,5.2953588109364045,36.0,524.0551771897494,160.1752104479194,235.93941079849463,36.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,815.4226103145289,119.5307510094302,126.710531747408,36.0,762.8607855440271,90.73912540411992,245.77395451298383,36.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,604.4133191272396,185.97193416211,31.394627885189266,36.0,507.064220813585,120.02502579783176,171.95468756605956,36.0
IaTJhUGICmO9xcL3605RW8QHneN2,521.0537228930746,146.30330811977902,144.4892160691934,36.0,745.3993477735888,245.48002204058508,40.67522021447072,36.0
JOBWLirr6KYf3GXJ3jPFKmd48S93,673.7350501817889,153.25590726079207,234.71712669178186,36.0,783.8167624378309,185.371438935583,201.82434442548941,36.0
