participant_id,first_rule,n_trials,accuracy,learning_slope,trials_to_criterion,pe_rate
WnC6Uscb5VMIr43GASKiUCO3AYH2,colour,17,0.7058823529411765,0.061274509803921566,7,0.0
WqoZv41KTtTCuPKBPyClregrKAi1,colour,25,0.76,0.02846153846153846,8,0.0
XehZHBpwr5MYzUXkj0FAYCsFG922,colour,15,0.8,0.05714285714285714,5,0.0
YEU5ox3jteVINfdSTg5ymqYcS9o2,colour,13,0.7692307692307693,0.08241758241758243,3,0.0
Yco8O7tmHlbsUBfKW2ywcZByGO32,colour,10,1.0,0.0,0,0.0
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,colour,17,0.9411764705882353,0.004901960784313725,0,0.0
aM2995jJmJWvr6cneaGH58HauIg2,colour,13,0.8461538461538461,0.04945054945054945,3,0.0
afdTz6deeYWf1qKNdUpKAYKN3hz1,colour,49,0.5510204081632653,0.01469387755102041,39,0.0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,colour,39,0.7692307692307693,-0.0020242914979757103,0,0.0
azdL1gX79EVd9iepyCAVQrqIaQF3,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
bXpFswkI7TfIfL6G4FqWrbaxTGx2,colour,16,0.75,0.052941176470588235,6,0.0
biQ16yPcCKSkJQhSxUKcDc8gm8I2,colour,17,0.8823529411764706,0.0196078431372549,7,0.0
btpcu1rB1JeSTo2upeHGPdv8kYG3,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
c0hRe9PCPPZs3HWFqhIQargNlp52,colour,20,0.95,0.0007518796992481203,0,0.0
cC0BEsQjfrcuCyoaOas9zJT0MNs2,colour,10,1.0,0.0,0,0.0
cEIs6U87xfbSL5eFTXDK77MmvNf1,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,colour,10,1.0,0.0,0,0.0
cec6NLR2ZLVVw6h0TEKSNIH11v02,colour,112,0.5625,0.002635220555574538,42,0.0
d9rwc0NXArcNlJvFsgKhQqkGxJq2,colour,19,0.8947368421052632,0.012280701754385963,9,0.0
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
e7NIVznoeNMC7bBejXnMVvFNPfx1,colour,13,0.7692307692307693,0.08241758241758243,3,0.0
fEq0OghbLpfD1jigl1Mbz96aMbg2,colour,10,1.0,0.0,0,0.0
foaW7wtvY3XLNdguFUK7OvOefP93,colour,13,0.9230769230769231,0.021978021978021973,3,0.0
g2G9l3no7RbeRA9a1W3JnfegTnh2,colour,10,1.0,0.0,0,0.0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,colour,14,0.8571428571428571,0.03516483516483516,4,0.0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,colour,56,0.48214285714285715,0.009193438140806559,46,0.0
hrRr560eFBNwJ0CcUjCqtSD8TdP2,colour,17,0.7647058823529411,0.049019607843137254,7,0.0
i1tBstVkNiVP0qro7TgGD08IGGa2,colour,15,0.9333333333333333,0.010714285714285714,5,0.0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
iWsc4pghIEWOQUZKuQJMfe516UI3,colour,20,0.8,0.0330827067669173,10,0.0
