participant_id,n_errors,n_trials,mean_rt_lag_1,mean_acc_lag_1,mean_rt_lag_2,mean_acc_lag_2,mean_rt_lag_3,mean_acc_lag_3,mean_rt_lag_4,mean_acc_lag_4,mean_rt_lag_5,mean_acc_lag_5
CtJe4bZZnYUBNrcPk00d3YQFSGp2,14,73,1497.5071428571496,0.5,1491.271428571382,0.6428571428571429,1447.3071428571295,0.7857142857142857,1584.1142857142925,0.9285714285714286,1325.3928571429237,0.9285714285714286
DAKDKPH698P12JfTbbjemLI6PIH2,11,80,1638.281818178567,0.8181818181818182,1219.8545454577966,0.8181818181818182,882.7999999956651,0.9090909090909091,1017.6363636417823,1.0,955.6181818030097,1.0
DPvStUYSmohmXwFwaKRqHv89R3k1,3,58,1937.2999999920528,1.0,1846.0999999841054,1.0,1266.300000031789,1.0,1162.7666666905086,1.0,1168.2000000476837,1.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,55,110,1662.398181818832,0.36363636363636365,1646.8407407425068,0.2962962962962963,1612.283333333554,0.3333333333333333,1681.8574074076282,0.3333333333333333,1576.820370371695,0.3888888888888889
Df83JuPuJkXqTGbENhM2gw5SJM43,12,87,1945.3333333333333,0.75,1287.7333333332983,0.9166666666666666,1335.5749999999534,1.0,1245.43333333331,1.0,1064.8000000000077,1.0
DzB19GqCB7fyrlEPexogWkjFzEx2,11,76,1923.2545454502106,0.6363636363636364,1704.1909090822394,0.8181818181818182,1589.1181818138468,1.0,1602.663636380976,1.0,1678.190909060565,1.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,14,91,1305.642857142824,0.5714285714285714,1196.928571428638,0.7857142857142857,1180.3571428571595,0.8571428571428571,1036.785714285681,0.9285714285714286,1071.0714285714287,0.9285714285714286
EUhcW9kURScie1DwGPHqmNqotJB2,39,109,1846.247368417288,0.4473684210526316,1845.5210526177757,0.5,1797.6105263107702,0.47368421052631576,1922.7810810772148,0.4594594594594595,1866.1666666666667,0.4444444444444444
EmfmKFDgWJdW47a6CNTNjnbYaPh2,9,75,1433.1888888809417,0.7777777777777778,1686.6444444259007,0.8888888888888888,1498.633333325386,1.0,1577.4111111164093,1.0,1349.9888888994853,0.8888888888888888
Fz7EUjZCLuUBxLDUVtN6djaBTy42,13,82,1786.8692307839026,0.6153846153846154,1809.946153833316,0.9230769230769231,1841.3461538553238,0.9230769230769231,1743.4923076904738,0.9230769230769231,1667.3461538553238,1.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,39,121,1731.06923076434,0.46153846153846156,1670.6923076861945,0.48717948717948717,1600.438461539073,0.5641025641025641,1695.1564102417383,0.6410256410256411,1635.0282051349297,0.6153846153846154
G9VruXninjUdE9czK2DambZl5li2,18,88,1646.8333333333203,0.6666666666666666,1393.388888888889,0.7777777777777778,1463.3333333333592,0.7222222222222222,1548.1111111110852,0.8888888888888888,1341.9444444443538,0.7777777777777778
GDZGRW51kbWtAdUIHCtEd8sAtqY2,15,78,2097.0066666762036,0.4666666666666667,1776.7799999872843,0.8666666666666667,1626.5999999841054,0.9333333333333333,1855.2133333524068,0.8666666666666667,1726.1800000190735,0.8666666666666667
