participant_id,task,n_trials,n_bursts,burst_rate,mean_burst_length,resilience_index,max_inter_burst_streak,post_burst_rt_lag1,post_burst_rt_lag2,post_burst_rt_lag3,post_burst_rt_lag4,post_burst_rt_lag5,recovery_slope,baseline_rt,rt_elevation_lag1
CUNlBEszJVRGK1jWlTaOaCqpDg53,wcst,74,4,5.405405405405405,2.5,15.0,25,2254.850000000093,1393.6499999999069,1280.0749999997206,1220.800000000745,1279.4750000000931,-487.38750000018626,1295.5048387099298,959.3451612901633
Co587hoelyeANqFX7AYvuVQW0lZ2,wcst,79,3,3.79746835443038,3.3333333333333335,19.5,33,1103.0333333214123,698.6999999880791,839.133333325386,1118.5999999841054,697.933333337307,-131.94999999801314,891.7303030256069,211.30303029580546
CtJe4bZZnYUBNrcPk00d3YQFSGp2,wcst,73,3,4.10958904109589,3.3333333333333335,21.0,22,1936.0666666665736,1472.0666666665736,1230.5666666667287,1741.76666666676,1043.766666666915,-352.74999999992247,1250.3423728813827,685.7242937851909
DAKDKPH698P12JfTbbjemLI6PIH2,wcst,80,2,2.5,2.0,18.0,18,1739.4500000178814,755.5999999642372,832.9500000178814,814.3499999642372,1009.3499999940395,,1048.3695652156637,691.0804348022177
DaRehVxIOhXtEtUExdgvUl0mKcx2,wcst,110,10,9.090909090909092,4.5,5.777777777777778,23,1633.6499999940395,1821.4100000083447,1696.5199999928475,1687.580000001192,1269.1100000083447,31.434999999404,1602.2672727248885,31.38272726915102
Df83JuPuJkXqTGbENhM2gw5SJM43,wcst,87,3,3.4482758620689653,2.0,9.0,10,1555.733333333318,1207.799999999969,1103.5666666666511,847.099999999938,892.2666666666822,-226.08333333333334,1331.007999999989,224.725333333329
DzB19GqCB7fyrlEPexogWkjFzEx2,wcst,76,3,3.9473684210526314,2.3333333333333335,22.5,25,1862.3333333333333,1363.3333333333333,1880.8333333333333,1855.9000000158946,1385.5333332220714,9.25,1588.0107692315028,274.3225641018305
EEodWwGh0wWq5f8JmzfKvq0lyeu1,wcst,91,3,3.296703296703297,3.0,29.0,48,1423.6666666666667,908.6666666667443,860.9999999999224,996.3333333332557,1056.3333333333333,-281.3333333333722,912.064935064932,511.60173160173474
EUhcW9kURScie1DwGPHqmNqotJB2,wcst,109,7,6.422018348623854,4.0,11.166666666666666,28,1918.2857142516546,1760.91428565979,1835.7571428162712,2147.0,1815.6000000238419,-41.26428571769168,1771.2857142857142,146.99999996594033
EmfmKFDgWJdW47a6CNTNjnbYaPh2,wcst,75,2,2.666666666666667,2.0,27.0,27,1727.300000011921,1564.0499999523163,1361.449999988079,1217.449999988079,1313.800000011921,,1449.4878787904074,277.8121212215135
Fz7EUjZCLuUBxLDUVtN6djaBTy42,wcst,82,4,4.878048780487805,2.25,11.0,13,1764.1749999821186,1932.4749999940395,2041.5,1676.0250000059605,1855.7500000298023,138.6625000089407,1749.640579716019,14.534420266099687
G1Ff3XYUZMRsPafyEQ80ussnVlf1,wcst,121,9,7.43801652892562,3.3333333333333335,10.625,33,1558.599999997351,1726.7333333359825,1866.5444444153045,1816.4222222301696,1617.766666677263,153.97222220897675,1528.9219512183492,29.678048779001756
G9VruXninjUdE9czK2DambZl5li2,wcst,88,5,5.681818181818182,2.2,14.0,23,1531.5999999999535,1451.6000000000465,1665.4,1594.9999999998604,1121.2,66.90000000002328,1367.8428571428472,163.75714285710637
GDZGRW51kbWtAdUIHCtEd8sAtqY2,wcst,78,6,7.6923076923076925,2.3333333333333335,10.8,20,1875.9166666666667,1532.966666618983,1719.0666666825612,2029.7166666984558,1565.9166666666667,-78.42499999205279,1672.463492037758,203.45317462890876
GEwkBw3YHaNp3TCh9YS9PKVfavz1,wcst,74,3,4.054054054054054,2.3333333333333335,12.0,22,1817.4333333571756,1987.5666666825612,1370.4333333174388,1482.4000000158946,1314.9666666587195,-223.50000001986837,1213.8904761870701,603.5428571701054
HSggdq91WiQp16bOj7V3dABkcgk2,wcst,81,2,2.4691358024691357,2.0,17.0,17,722.1999999880791,910.3000000119208,693.0999999642372,1418.5999999642372,805.5000000596046,,1127.8084506938155,-405.60845070573646
