participant_id,mean_lapse_duration,max_lapse_duration,n_lapse_episodes,n_trials
mweMgSlGM2VxThhwnupYxYzUbR23,1.0,1,8,80
mwsliuPsLFhRFjtjQwYkqcCRDvi2,1.5555555555555556,4,9,70
nT1qJOiMyDdJ9ui4el195A8Hsgs1,1.4,2,15,70
o4jXmZcjtMVF2ZInToRpVHUhpdV2,1.5454545454545454,4,11,73
ohl9pXqpeSMfepC3w9h0tW5SbJw1,1.2,2,5,72
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,1.4285714285714286,3,7,82
pRQimOpZtsekBI2I1kbnD3pycmo1,1.0,1,10,73
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,1.0,1,3,89
q0Atnpm0jZS5swcVmq0EMalQUKw1,1.875,5,8,71
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,2.2,6,5,127
qnR5PLX1v3fPi6SwTJMwGcadwyD3,2.3333333333333335,9,12,82
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,2.8,5,5,74
rFV2EUbp64f5ORSh7DqwmCQmeqT2,1.4,2,5,90
rNe3cRPepZUXbJhmmfQZiGsVzX22,16.0,21,2,109
ric6cNjG25XmZJCiKZDOxzeezao1,1.0,1,7,100
roaf78tUWxWSEjAUcUu8O7mrQbl1,1.3636363636363635,3,11,73
s48aCkolCSNbBRSSRPle0r61a7H2,5.0,24,6,112
s5gTyWKzfkdHXNT3qicwPmdONYv1,1.5,3,4,80
sqfXvh6GJLaYAqr3RvHrixP8IOx1,2.3076923076923075,8,13,75
ssPK6ISW0HerTGke9hznqJ2LpKu1,2.3333333333333335,6,15,82
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,1.8823529411764706,6,17,107
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,3.1666666666666665,8,6,68
tv88wS5Nf6SjruozSmXJxQSmx6J3,1.0,1,10,77
u64Uf920g5VD9Byq26LT2rs5o4t1,1.1538461538461537,2,13,105
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,1.3571428571428572,3,14,78
v8nNKiWvPdcjiHXZci39OuFTY6M2,1.2,2,5,66
wdppvL4tIkVlGjou6aYzzjlaZXB2,8.25,18,4,125
wkhxvE50megJGMA1EiROSZIJWNq1,2.8,8,10,85
xBGZhFOeypWnqzSQClkrwV9z2vF3,2.3333333333333335,3,3,78
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,1.6,3,5,97
xHctBv4C2EU8rHYRouw0btT3GT02,4.0,4,1,89
y1EHXv8tUTa4BRS4fRio7bULYfA2,3.909090909090909,12,11,97
yGTid3RXTdQe5JNosdSxvgktWIW2,2.4285714285714284,7,14,69
yatBVTBMCSMp0wJluOCLzTFKMyP2,3.0,5,6,87
yfjd8LbAMrYeG54927d3GiKAyXI2,1.8333333333333333,3,6,78
zw1w9FipI9RjJsuhHse6UZavBxs2,1.7142857142857142,5,14,108
zxG9mUnF7uRkaOKSoCPsiRZzr372,2.6363636363636362,5,11,92
